NRAXES,MAXTEU,CALLCODE,WAGTYPE,WPOS,WAGON,UNNR,UNKLASSE,UNITWEIGHTNETT,UNITTYPE,UNITSEQUENCE,TRACK,TEUS,TERMINALWEIGHTNETT,TARE,SIZEFT,STARTPOSITION,SEQ,PAYLOAD,MOVETYPE,LOCATION,LEN,CONTAINERTARRA,CONTAINERNUMBER,COMPOUNDPOS,MAXTRAVELDISTANCE,TRAINSPLIT,TRAINREVERSED,MaxTrainWeight Value,WeightPerc Threshold Value,HideUnplacedContainers Value,LengthPerc Threshold Value
,,CTTROT20210330POL,,,,,,25240,30BU,3072989,,1.5,25240,,,,368303,,lader,CTTROT,,3300,UBBU 226139 8,BIN,142,7,False,1600,0.674,False,0.547
,,CTTROT20210330POL,,,,,,25480,30BU,3072991,,1.5,,,,,368303,,lader,CTTROT,,3300,DHBU 317144 1,,142,7,False,1600,0.674,False,0.547
,,CTTROT20210330POL,,,,,,26000,20TK,3072966,,1,,,,,368303,,lader,CTTROT,,4000,EXFU 241155 1,,142,7,False,1600,0.674,False,0.547
,,CTTROT20210330POL,,,,,,26100,20DV,3072971,,1,,,,,368303,,lader,CTTROT,,2300,,,142,7,False,1600,0.674,False,0.547
,,CTTROT20210330POL,,,,,,26100,20DV,3072972,,1,,,,,368303,,lader,CTTROT,,2300,,,142,7,False,1600,0.674,False,0.547
,,CTTROT20210330POL,,,,,,26100,20DV,3072973,,1,,,,,368303,,lader,CTTROT,,2300,,,142,7,False,1600,0.674,False,0.547
,,CTTROT20210330POL,,,,,,26100,20DV,3072974,,1,,,,,368303,,lader,CTTROT,,2300,,,142,7,False,1600,0.674,False,0.547
,,CTTROT20210330POL,,,,,,26100,20DV,3072975,,1,,,,,368303,,lader,CTTROT,,2300,,,142,7,False,1600,0.674,False,0.547
,,CTTROT20210330POL,,,,,,27000,26TK,3072986,,1.3,0,,,,368303,,lader,CTTROT,,4800,TANU 351117 5,48.13.3,142,7,False,1600,0.674,False,0.547
,,CTTROT20210330POL,,,,,,27992,20TK,3072967,,1,27992,,,,368303,,lader,CTTROT,,4000,BIDU 491290 5,23.01.1,142,7,False,1600,0.674,False,0.547
,,CTTROT20210330POL,,,,,,28000,20TK,3072964,,1,,,,,368303,,lader,CTTROT,,4000,BIDU 490503 8,,142,7,False,1600,0.674,False,0.547
,,CTTROT20210330POL,,,,,,28000,22TK,3072977,,1.1,,,,,368303,,lader,CTTROT,,4800,PAWU 310007 4,,142,7,False,1600,0.674,False,0.547
,,CTTROT20210330POL,,,,,,28000,26TK,3072979,,1.3,,,,,368303,,lader,CTTROT,,4800,KRIU 226043 8,,142,7,False,1600,0.674,False,0.547
,,CTTROT20210330POL,,,,,,28000,26TK,3072982,,1.3,,,,,368303,,lader,CTTROT,,4800,PAWU 350002 3,,142,7,False,1600,0.674,False,0.547
,,CTTROT20210330POL,,,,1715000,8,27000,20TK,3072963,,1,27000,,,,368303,,lader,CTTROT,,4000,PCCU 272001 3,12.10.4,142,7,False,1600,0.674,False,0.547
,,CTTROT20210330POL,,,,1750000,6.1,1,20TK,3073007,,1,1,,,,368303,,lader,CTTROT,,4000,GESU 810799 9,BIN,142,7,False,1600,0.674,False,0.547
,,CTTROT20210330POL,,,,3082000,9,27000,26TK,3072984,,1.3,27000,,,,368303,,lader,CTTROT,,4800,PCVU 935011 2,18.10.2,142,7,False,1600,0.674,False,0.547
,,CTTROT20210330POL,,,,3082000,9,27000,26TK,3072985,,1.3,27000,,,,368303,,lader,CTTROT,,4800,PCCU 352601 8,18.10.1,142,7,False,1600,0.674,False,0.547
,,CTTROT20210330POL,SGGNS,23,37804952554-6,,,,,,,,,,,,368303,,,,,,,,142,7,False,1600,0.674,False,0.547
4,,CTTROT20210330POL,Sgns60,4,31804557021-1,,,,,,,,,20000,60,,368303,72000,,,19.639999389648438,,,,142,7,False,1600,0.674,False,0.547
4,,CTTROT20210330POL,Sgns60,5,33684556915-9,,,,,,,,,20000,60,,368303,70000,,,19.639999389648438,,,,142,7,False,1600,0.674,False,0.547
4,,CTTROT20210330POL,Sgns60,6,33684556912-6,,,,,,,,,20000,60,,368303,70000,,,19.639999389648438,,,,142,7,False,1600,0.674,False,0.547
4,,CTTROT20210330POL,Sgns60,17,31804557059-1,,,,,,,,,20000,60,,368303,72000,,,19.639999389648438,,,,142,7,False,1600,0.674,False,0.547
4,,CTTROT20210330POL,Sgns60,19,37804557797-0,,,,,,,,,20000,60,,368303,72000,,,19.639999389648438,,,,142,7,False,1600,0.674,False,0.547
4,,CTTROT20210330POL,Sgns60,22,31804557008-8,,,,,,,,,20000,60,,368303,72000,,,19.639999389648438,,,,142,7,False,1600,0.674,False,0.547
4,,CTTROT20210330POL,SGNSS,10,37804557179-1,,,,,,,,,20000,60,,368303,70000,,,19.639999389648438,,,,142,7,False,1600,0.674,False,0.547
4,,CTTROT20210330POL,SGNSS,13,37804557052-0,,,,,,,,,20000,60,,368303,70000,,,19.639999389648438,,,,142,7,False,1600,0.674,False,0.547
4,,CTTROT20210330POL,SGNSS,14,37804558116-2,,,,,,,,,20000,60,,368303,70000,,,19.639999389648438,,,,142,7,False,1600,0.674,False,0.547
4,,CTTROT20210330POL,SGNSS,15,37804557165-0,,,,,,,,,20000,60,,368303,70000,,,19.639999389648438,,,,142,7,False,1600,0.674,False,0.547
4,,CTTROT20210330POL,SGNSS,18,33684556890-4,,,,,,,,,22000,60,,368303,72000,,,19.899999618530273,,,,142,7,False,1600,0.674,False,0.547
4,3,CTTROT20210330POL,SGNS,12,37804558982-7,,,,,,,,,19800,60,,368303,72000,,,19.399999618530273,,,,142,7,False,1600,0.674,False,0.547
4,3,CTTROT20210330POL,SGNSS,24,33684558702-9,,,,,,,,,19200,60,,368303,72000,,,19.639999389648438,,,,142,7,False,1600,0.674,False,0.547
6,,CTTROT20210330POL,SGGMRS,2,33684953215-3,,,,,,,,,29000,90,,368303,94000,,,29.590000152587891,,,,142,7,False,1600,0.674,False,0.547
6,,CTTROT20210330POL,SGGMRS,11,37804952303-8,,,,,,,,,29000,90,,368303,94000,,,29.590000152587891,,,,142,7,False,1600,0.674,False,0.547
6,,CTTROT20210330POL,Sggmrs90,1,37804952318-6,,,,,,,,,29000,90,,368303,94000,,,29.590000152587891,,,,142,7,False,1600,0.674,False,0.547
6,,CTTROT20210330POL,Sggmrs90,3,37804954060-2,,,,,,,,,29000,90,,368303,94000,,,29.590000152587891,,,,142,7,False,1600,0.674,False,0.547
6,,CTTROT20210330POL,Sggmrss,7,33884961020-3,,,,,,,,,26940,90,,368303,108000,,,29.590000152587891,,,,142,7,False,1600,0.674,False,0.547
6,,CTTROT20210330POL,Sggmrss,20,33884961049-2,,,,,,,,,27260,90,,368303,107600,,,29.590000152587891,,,,142,7,False,1600,0.674,False,0.547
6,,CTTROT20210330POL,Sggmrss,21,33884962390-9,,,,,,,,,26940,90,,368303,108000,,,29.590000152587891,,,,142,7,False,1600,0.674,False,0.547
6,4.5,CTTROT20210330POL,SGGMRS,8,37804963032-0,,,,,,,,,29000,90,,368303,104000,,,29.590000152587891,,,,142,7,False,1600,0.674,False,0.547
6,4.5,CTTROT20210330POL,SGGMRS,9,37804963035-3,,,,,,,,,29000,90,,368303,104000,,,29.590000152587891,,,,142,7,False,1600,0.674,False,0.547
6,4.5,CTTROT20210330POL,SGGMRS,16,37804963033-8,,,,,,,,,29000,90,,368303,104000,,,29.590000152587891,,,,142,7,False,1600,0.674,False,0.547
