NRAXES,MAXTEU,CALLCODE,WAGTYPE,WPOS,WAGON,UNNR,UNKLASSE,UNITWEIGHTNETT,UNITTYPE,UNITSEQUENCE,TRACK,TEUS,TERMINALWEIGHTNETT,TARE,SIZEFT,STARTPOSITION,SEQ,PAYLOAD,MOVETYPE,LOCATION,LEN,CONTAINERTARRA,CONTAINERNUMBER,COMPOUNDPOS
,,CTTROT20210316POL-C,,,,,,5073,20DV,3040080,,1,5073,,,,367592,,lader,CTTROT,,2300,CPWU 229894 0,24.01.1
,,CTTROT20210316POL-C,,,,,,7549,40HC,3040089,,2,7549,,,,367592,,lader,CTTROT,,4200,CMAU 909627 1,37.02.1
,,CTTROT20210316POL-C,,,,,,9513,40HC,3040090,,2,9513,,,,367592,,lader,CTTROT,,4200,GESU 695206 0,23.02.2
,,CTTROT20210316POL-C,,,,,,9864,40HC,3040586,,2,9864,,,,367592,,lader,CTTROT,,4200,CMAU 826520 6,23.03.1
,,CTTROT20210316POL-C,,,,,,10000,20TK,3041427,,1,10000,,,,367592,,lader,CTTROT,,4000,DHIU 053205 8,36.01.1
,,CTTROT20210316POL-C,,,,,,12555,40HC,3040096,,2,12555,,,,367592,,lader,CTTROT,,4200,CSFU 967769 0,37.02.2
,,CTTROT20210316POL-C,,,,,,14002,40HC,3040585,,2,14002,,,,367592,,lader,CTTROT,,4200,GLDU 762731 2,15.01.2
,,CTTROT20210316POL-C,,,,,,20531,40HC,3040092,,2,20531,,,,367592,,lader,CTTROT,,4200,SEGU 573325 2,23.02.1
,,CTTROT20210316POL-C,,,,,,23460,20TK,3041428,,1,23460,,,,367592,,lader,CTTROT,,4000,TCVU 361832 5,11.01.2
,,CTTROT20210316POL-C,,,,,,23860,20TK,3041426,,1,23860,,,,367592,,lader,CTTROT,,4000,BTTU 224149 0,11.01.1
,,CTTROT20210316POL-C,,,,,,24000,20TK,3040180,,1,24000,,,,367592,,lader,CTTROT,,4000,PCVU 260136 6,24.01.2
,,CTTROT20210316POL-C,,,,,,24108,20DV,3040179,,1,24108,,,,367592,,lader,CTTROT,,2300,MEDU 220821 2,23.06.1
,,CTTROT20210316POL-C,,,,,,25000,20TK,3040079,,1,25000,,,,367592,,lader,CTTROT,,4000,DHIU 114243 4,41.03.2
,,CTTROT20210316POL-C,,,,,,25040,22TK,3040377,,1.1,25040,,,,367592,,lader,CTTROT,,4800,RCLU 131060 3,04.01.1
,,CTTROT20210316POL-C,,,,,,27000,20TK,3040031,,1,27000,,,,367592,,lader,CTTROT,,4000,PCVU 288038 4,20.02.1
,,CTTROT20210316POL-C,,,,,,27800,22TK,3040082,,1.1,27800,,,,367592,,lader,CTTROT,,4800,PAWU 310008 0,04.01.2
,,CTTROT20210316POL-C,,,,,,28000,20TK,3040081,,1,28000,,,,367592,,lader,CTTROT,,4000,BIDU 492892 2,41.03.1
,,CTTROT20210316POL-C,,,,,,28000,22TK,3040083,,1.1,28000,,,,367592,,lader,CTTROT,,4800,PAWU 310006 9,43.01.1
,,CTTROT20210316POL-C,,,,,,28000,22TK,3040084,,1.1,27900,,,,367592,,lader,CTTROT,,4800,PAWU 310009 5,43.01.2
,,CTTROT20210316POL-C,,,,,,28038,20TK,3040183,,1,28038,,,,367592,,lader,CTTROT,,4000,BIDU 497503 5,18.02.1
,,CTTROT20210316POL-C,,,,1268004,3,24120,26TK,3040087,,1.3,24120,,,,367592,,lader,CTTROT,,4800,TWSU 971059 0,33.06.1
,,CTTROT20210316POL-C,,,,2055000,3,25980,22TK,3040196,,1.1,25980,,,,367592,,lader,CTTROT,,4800,GCAU 777634 0,21.06.2
,,CTTROT20210316POL-C,,,,2055000,3,26000,23TK,3040198,,1.15,26000,,,,367592,,lader,CTTROT,,4800,GCAU 793007 5,47.06.1
,,CTTROT20210316POL-C,,,,2055000,3,26000,30TK,3040088,,1.5,25960,,,,367592,,lader,CTTROT,,2800,MCMU 635032 0,21.06.1
,,CTTROT20210316POL-C,,,,3082000,9,25980,26TK,3040086,,1.3,25980,,,,367592,,lader,CTTROT,,4800,EXFU 878937 0,36.06.1
,,CTTROT20210316POL-C,,,,3265002,8,25000,20TK,3040002,,1,25000,,,,367592,,lader,CTTROT,,4000,BGBU 080494 3,12.01.1
,,CTTROT20210316POL-C,SGGMRS,2,33544975497-7,,,,,,,,,,,,367592,,,,,,,
,,CTTROT20210316POL-C,Sggmrss,3,33544975513-1,,,,,,,,,,,,367592,,,,,,,
,,CTTROT20210316POL-C,SGGNS,16,33884961055-9,,,,,,,,,,,,367592,,,,,,,
,,CTTROT20210316POL-C,SGGRS,9,33884961517-8,,,,,,,,,,,,367592,,,,,,,
,,CTTROT20210316POL-C,SGGRSS,1,33544975512-3,,,,,,,,,,,,367592,,,,,,,
,,CTTROT20210316POL-C,SGMMNS,10,33684558413-3,,,,,,,,,,,,367592,,,,,,,
,,CTTROT20210316POL-C,SGNS,8,37804558980-1,,,,,,,,,,,,367592,,,,,,,
4,,CTTROT20210316POL-C,SGNS,7,37804557351-6,,,,,,,,,20000,60,,367592,60000,,,19.639999389648438,,,
4,,CTTROT20210316POL-C,Sgns60,5,37804556674-2,,,,,,,,,20000,60,,367592,70000,,,19.639999389648438,,,
4,,CTTROT20210316POL-C,Sgns60,11,37804556642-9,,,,,,,,,20000,60,,367592,70000,,,19.639999389648438,,,
4,,CTTROT20210316POL-C,Sgns60,12,31804557061-7,,,,,,,,,20000,60,,367592,72000,,,19.639999389648438,,,
4,,CTTROT20210316POL-C,Sgns60,13,33684556902-7,,,,,,,,,20000,60,,367592,70000,,,19.639999389648438,,,
4,,CTTROT20210316POL-C,Sgns60,20,31804557045-0,,,,,,,,,20000,60,,367592,72000,,,19.639999389648438,,,
4,,CTTROT20210316POL-C,Sgns60,22,33684556908-4,,,,,,,,,20000,60,,367592,70000,,,19.639999389648438,,,
4,,CTTROT20210316POL-C,SGNSS,23,31804557843-8,,,,,,,,,20000,60,,367592,70000,,,19.639999389648438,,,
4,,CTTROT20210316POL-C,SGNSS,24,37804557177-5,,,,,,,,,20000,60,,367592,70000,,,19.639999389648438,,,
4,3,CTTROT20210316POL-C,SGNSS,4,37804556180-0,,,,,,,,,20000,60,,367592,72000,,,20,,,
6,,CTTROT20210316POL-C,SGGMRS,6,37804953046-2,,,,,,,,,29000,90,,367592,94000,,,29.590000152587891,,,
6,,CTTROT20210316POL-C,Sggmrss,14,33884962416-2,,,,,,,,,26940,90,,367592,107600,,,29.590000152587891,,,
6,,CTTROT20210316POL-C,Sggmrss,15,33884961166-4,,,,,,,,,27240,90,,367592,107700,,,29.590000152587891,,,
6,,CTTROT20210316POL-C,Sggmrss,17,33884962434-5,,,,,,,,,26920,90,,367592,107600,,,29.590000152587891,,,
6,,CTTROT20210316POL-C,Sggmrss,18,33884961176-3,,,,,,,,,27260,90,,367592,107700,,,29.590000152587891,,,
6,,CTTROT20210316POL-C,Sggmrss,19,33884961423-9,,,,,,,,,27260,90,,367592,107700,,,29.590000152587891,,,
6,,CTTROT20210316POL-C,Sggmrss,21,33884961383-5,,,,,,,,,27300,90,,367592,108000,,,29.590000152587891,,,
