"SEQ","MOVEDATE","COMPOUNDPOS_FROM","COMPOUNDPOS_TO","UNITNR","LOCATION","SEQ","UNITTYPE","ADDRESS_CLIENT","MOVETYPE"
4118260,2021-02-04 16:12:00,TRUCK,"24.15.2",DHDU 134194 7,CTTROT,1861033,"20TK",$HARTGL,Gate in truck
4119640,2021-02-05 09:38:00,"24.15.2","08.06.2",DHDU 134194 7,CTTROT,1861033,"20TK",$HARTGL,InternalMoveLocations
4119756,2021-02-05 10:10:00,"08.06.2","45.06.1",DHDU 134194 7,CTTROT,1861033,"20TK",$HARTGL,InternalMoveLocations
4120115,2021-02-05 11:43:00,"45.06.1",TOUT,DHDU 134194 7,CTTROT,1861033,"20TK",$HARTGL,Gate out train
4120176,2021-02-05 12:09:00,TOUT,"41.06.1",DHDU 134194 7,CTTROT,1861033,"20TK",$HARTGL,Rotzooi
4120222,2021-02-05 12:24:00,"41.06.1","40.06.1",DHDU 134194 7,CTTROT,1861033,"20TK",$HARTGL,InternalMoveLocations
4120229,2021-02-05 12:26:00,"40.06.1","21.14.3",DHDU 134194 7,CTTROT,1861033,"20TK",$HARTGL,InternalMoveLocations
4123467,2021-02-08 10:15:00,"21.14.3","24.14.3",DHDU 134194 7,CTTROT,1861033,"20TK",$HARTGL,InternalMoveLocations
4119742,2021-02-05 10:05:00,,TRUCK,DHDU 135568 4,CTTROT,1861311,"20TK",$HARTRO,Rotzooi
4119768,2021-02-05 10:14:00,TRUCK,"27.09.1",DHDU 135568 4,CTTROT,1861311,"20TK",$HARTRO,Gate in truck
4117360,2021-02-04 11:40:00,,TIN,DHDU 135582 7,CTTROT,1860730,"20TK",$SHUTRO,Rotzooi
4117362,2021-02-04 11:42:00,TIN,"39.07.1",DHDU 135582 7,CTTROT,1860730,"20TK",$SHUTRO,Gate in train
4117369,2021-02-04 11:45:00,"39.07.1","21.13.2",DHDU 135582 7,CTTROT,1860730,"20TK",$SHUTRO,InternalMoveLocations
4123162,2021-02-08 08:00:00,"21.13.2",,DHDU 135582 7,CTTROT,1860730,"20TK",$SHUTRO,Rotzooi
4114706,2021-02-03 08:49:00,,TRUCK,DHDU 137036 0,CTTROT,1860085,"20TK",$HARTGL,Rotzooi
4114724,2021-02-03 08:55:00,TRUCK,"01.13.1",DHDU 137036 0,CTTROT,1860085,"20TK",$HARTGL,Gate in truck
4116376,2021-02-03 20:57:00,"01.13.1","08.12.2",DHDU 137036 0,CTTROT,1860085,"20TK",$HARTGL,InternalMoveLocations
4119618,2021-02-05 09:27:00,"08.12.2","45.06.1",DHDU 137036 0,CTTROT,1860085,"20TK",$HARTGL,InternalMoveLocations
4119753,2021-02-05 10:08:00,"45.06.1","09.06.1",DHDU 137036 0,CTTROT,1860085,"20TK",$HARTGL,InternalMoveLocations
4119888,2021-02-05 10:32:00,"09.06.1",TOUT,DHDU 137036 0,CTTROT,1860085,"20TK",$HARTGL,Gate out train
4120892,2021-02-05 15:32:00,TOUT,,DHDU 137036 0,CTTROT,1860085,"20TK",$HARTGL,Rotzooi
4123523,2021-02-08 10:46:00,,TRUCK,DHDU 137104 7,CTTROT,1862206,"20TK",$HARTRO,Rotzooi
4123529,2021-02-08 10:51:00,TRUCK,"47.09.3",DHDU 137104 7,CTTROT,1862206,"20TK",$HARTRO,Gate in truck
4119622,2021-02-05 09:28:00,,TRUCK,DHDU 137504 2,CTTROT,1861265,"20TK",$SHUTRO,Rotzooi
4119633,2021-02-05 09:35:00,TRUCK,"04.14.1",DHDU 137504 2,CTTROT,1861265,"20TK",$SHUTRO,Gate in truck
4121094,2021-02-05 16:37:00,"04.14.1","09.13.2",DHDU 137504 2,CTTROT,1861265,"20TK",$SHUTRO,InternalMoveLocations
4123223,2021-02-08 08:36:00,"09.13.2","10.12.1",DHDU 137504 2,CTTROT,1861265,"20TK",$SHUTRO,InternalMoveLocations
4123225,2021-02-08 08:36:00,"10.12.1","11.13.2",DHDU 137504 2,CTTROT,1861265,"20TK",$SHUTRO,InternalMoveLocations
4123126,2021-02-08 07:40:00,,TRUCK,DHDU 137817 0,CTTROT,1862154,"20TK",$HARTRO,Rotzooi
4123137,2021-02-08 07:47:00,"34","34.05.2",DHDU 137817 0,CTTROT,1862154,"20TK",$HARTRO,Rotzooi
4123136,2021-02-08 07:47:00,TRUCK,"34",DHDU 137817 0,CTTROT,1862154,"20TK",$HARTRO,Rotzooi
4123198,2021-02-08 08:24:00,"34.05.2","02.03.1",DHDU 137817 0,CTTROT,1862154,"20TK",$HARTRO,InternalMoveLocations
4120677,2021-02-05 14:34:00,,TRUCK,DHDU 137856 6,CTTROT,1861601,"20TK",$HARTGL,Rotzooi
4120715,2021-02-05 14:46:00,TRUCK,"01.13.2",DHDU 137856 6,CTTROT,1861601,"20TK",$HARTGL,Gate in truck
4116291,2021-02-03 19:55:00,,TRUCK,DHDU 147351 6,CTTROT,1860504,"20TK",$HARTRO,Rotzooi
4116303,2021-02-03 20:03:00,TRUCK,"32.09.3",DHDU 147351 6,CTTROT,1860504,"20TK",$HARTRO,Gate in truck
4119636,2021-02-05 09:37:00,"32.09.3",,DHDU 147351 6,CTTROT,1860504,"20TK",$HARTRO,Rotzooi
4116383,2021-02-03 21:03:00,"03.13.1","08.12.3",DHDU 147396 4,CTTROT,1859186,"20TK",$HARTRO,InternalMoveLocations
4119603,2021-02-05 09:21:00,"08.12.3","28.06.1",DHDU 147396 4,CTTROT,1859186,"20TK",$HARTRO,InternalMoveLocations
4119867,2021-02-05 10:26:00,"28.06.1","27.06.1",DHDU 147396 4,CTTROT,1859186,"20TK",$HARTRO,InternalMoveLocations
4119869,2021-02-05 10:26:00,"27.06.1","26.06.1",DHDU 147396 4,CTTROT,1859186,"20TK",$HARTRO,InternalMoveLocations
4119876,2021-02-05 10:26:00,"26.06.1","28.06.1",DHDU 147396 4,CTTROT,1859186,"20TK",$HARTRO,InternalMoveLocations
4120069,2021-02-05 11:27:00,"28.06.1",TOUT,DHDU 147396 4,CTTROT,1859186,"20TK",$HARTRO,Gate out train
4120884,2021-02-05 15:29:00,TOUT,,DHDU 147396 4,CTTROT,1859186,"20TK",$HARTRO,Rotzooi
4124136,2021-02-08 16:12:00,,TRUCK,DHDU 147411 1,CTTROT,1862340,"20TK",$SHUTRO,Rotzooi
4124148,2021-02-08 16:18:00,TRUCK,"10.03.2",DHDU 147411 1,CTTROT,1862340,"20TK",$SHUTRO,Gate in truck
4124516,2021-02-08 19:04:00,"10.03.2","09.03.1",DHDU 147411 1,CTTROT,1862340,"20TK",$SHUTRO,InternalMoveLocations
4124638,2021-02-09 06:59:00,"09.03.1","16.02.2",DHDU 147411 1,CTTROT,1862340,"20TK",$SHUTRO,InternalMoveLocations
4115800,2021-02-03 15:44:00,,TRUCK,DHDU 147495 5,CTTROT,1860411,"20TK",$HARTGL,Rotzooi
4115846,2021-02-03 15:59:00,TRUCK,"02.12.1",DHDU 147495 5,CTTROT,1860411,"20TK",$HARTGL,Gate in truck
4116371,2021-02-03 20:53:00,"02.12.1","08.12.1",DHDU 147495 5,CTTROT,1860411,"20TK",$HARTGL,InternalMoveLocations
4119624,2021-02-05 09:30:00,"08.12.1","08.06.1",DHDU 147495 5,CTTROT,1860411,"20TK",$HARTGL,InternalMoveLocations
4119764,2021-02-05 10:13:00,"08.06.1","45.06.2",DHDU 147495 5,CTTROT,1860411,"20TK",$HARTGL,InternalMoveLocations
4119894,2021-02-05 10:35:00,"45.06.2","49.01.1",DHDU 147495 5,CTTROT,1860411,"20TK",$HARTGL,InternalMoveLocations
4119896,2021-02-05 10:36:00,"49.01.1","46.06.1",DHDU 147495 5,CTTROT,1860411,"20TK",$HARTGL,InternalMoveLocations
4120109,2021-02-05 11:41:00,"46.06.1",TOUT,DHDU 147495 5,CTTROT,1860411,"20TK",$HARTGL,Gate out train
4120893,2021-02-05 15:32:00,TOUT,,DHDU 147495 5,CTTROT,1860411,"20TK",$HARTGL,Rotzooi
4119598,2021-02-05 09:20:00,,TRUCK,DHDU 147558 7,CTTROT,1861258,"20TK",$SHUTRO,Rotzooi
4119623,2021-02-05 09:29:00,TRUCK,"44.01.1",DHDU 147558 7,CTTROT,1861258,"20TK",$SHUTRO,Gate in truck
4125047,2021-02-09 11:05:00,"44.01.1","42.02.2",DHDU 147558 7,CTTROT,1861258,"20TK",$SHUTRO,InternalMoveLocations
4117144,2021-02-04 10:30:00,,TRUCK,DHDU 147915 5,CTTROT,1860655,"20TK",$HARTRO,Rotzooi
4117153,2021-02-04 10:38:00,TRUCK,"30.05.2",DHDU 147915 5,CTTROT,1860655,"20TK",$HARTRO,Gate in truck
4118860,2021-02-04 19:05:00,"30.05.2","02.01.1",DHDU 147915 5,CTTROT,1860655,"20TK",$HARTRO,InternalMoveLocations
4122007,2021-02-06 10:31:00,,TIN,DHDU 157328 5,CTTROT,1861883,"20TK",$PCCGDY,Rotzooi
4122200,2021-02-06 13:54:00,TIN,"31.07.1",DHDU 157328 5,CTTROT,1861883,"20TK",$PCCGDY,Gate in train
4122803,2021-02-07 13:18:00,"31.07.1","26.12.1",DHDU 157328 5,CTTROT,1861883,"20TK",$PCCGDY,InternalMoveLocations
4124406,2021-02-08 18:16:00,"26.12.1","14.16.1",DHDU 157328 5,CTTROT,1861883,"20TK",$PCCGDY,InternalMoveLocations
4115218,2021-02-03 11:35:00,"02.09.2","17.08.1",DHDU 157911 2,CTTROT,1857808,"20TK",$HARTRO,InternalMoveLocations
4115462,2021-02-03 13:28:00,"17.08.1","17.09.1",DHDU 157911 2,CTTROT,1857808,"20TK",$HARTRO,InternalMoveLocations
4116981,2021-02-04 09:10:00,"05.09.2","02.09.1",DHDU 157911 2,CTTROT,1857808,"20TK",$HARTRO,InternalMoveLocations
4116980,2021-02-04 09:10:00,"17.09.1","05.09.2",DHDU 157911 2,CTTROT,1857808,"20TK",$HARTRO,InternalMoveLocations
4115306,2021-02-03 12:18:00,,TRUCK,DHDU 167136 3,CTTROT,1860263,"20TK",$SHUTRO,Rotzooi
4115326,2021-02-03 12:24:00,TRUCK,"12.06.1",DHDU 167136 3,CTTROT,1860263,"20TK",$SHUTRO,Gate in truck
4115428,2021-02-03 13:17:00,"12.06.1","09.01.2",DHDU 167136 3,CTTROT,1860263,"20TK",$SHUTRO,InternalMoveLocations
4116045,2021-02-03 17:13:00,"09.01.2","12.06.2",DHDU 167136 3,CTTROT,1860263,"20TK",$SHUTRO,InternalMoveLocations
4116112,2021-02-03 17:55:00,"12.06.2","12.07.1",DHDU 167136 3,CTTROT,1860263,"20TK",$SHUTRO,InternalMoveLocations
4116159,2021-02-03 18:13:00,"12.07.1","43.07.1",DHDU 167136 3,CTTROT,1860263,"20TK",$SHUTRO,InternalMoveLocations
4116204,2021-02-03 18:39:00,"43.07.1",TOUT,DHDU 167136 3,CTTROT,1860263,"20TK",$SHUTRO,Gate out train
4116414,2021-02-03 22:03:00,TOUT,,DHDU 167136 3,CTTROT,1860263,"20TK",$SHUTRO,Rotzooi
4119601,2021-02-05 09:20:00,,TRUCK,DHDU 168073 0,CTTROT,1861259,"20TK",$SHUTRO,Rotzooi
4119629,2021-02-05 09:32:00,TRUCK,"46.03.2",DHDU 168073 0,CTTROT,1861259,"20TK",$SHUTRO,Gate in truck
4120325,2021-02-05 13:02:00,"46.03.2","43.04.1",DHDU 168073 0,CTTROT,1861259,"20TK",$SHUTRO,InternalMoveLocations
4120454,2021-02-05 13:23:00,"46.04.2","46.03.2",DHDU 168073 0,CTTROT,1861259,"20TK",$SHUTRO,InternalMoveLocations
4120450,2021-02-05 13:23:00,"43.04.1","44.04.1",DHDU 168073 0,CTTROT,1861259,"20TK",$SHUTRO,InternalMoveLocations
4120452,2021-02-05 13:23:00,"44.04.1","46.04.2",DHDU 168073 0,CTTROT,1861259,"20TK",$SHUTRO,InternalMoveLocations
4125022,2021-02-09 10:56:00,"46.03.2","42.02.1",DHDU 168073 0,CTTROT,1861259,"20TK",$SHUTRO,InternalMoveLocations
4114663,2021-02-03 08:33:00,,TIN,DHDU 168163 3,CTTROT,1860062,"20TK",$SHUTRO,Rotzooi
4114893,2021-02-03 09:48:00,TIN,"23.06.2",DHDU 168163 3,CTTROT,1860062,"20TK",$SHUTRO,Gate in train
4114923,2021-02-03 09:59:00,"23.06.2","48.11.3",DHDU 168163 3,CTTROT,1860062,"20TK",$SHUTRO,InternalMoveLocations
4115638,2021-02-03 14:45:00,"48.11.3","51.11.3",DHDU 168163 3,CTTROT,1860062,"20TK",$SHUTRO,InternalMoveLocations
4115899,2021-02-03 16:09:00,"51.11.3","53.11.3",DHDU 168163 3,CTTROT,1860062,"20TK",$SHUTRO,InternalMoveLocations
4116596,2021-02-04 07:04:00,"53.11.3",,DHDU 168163 3,CTTROT,1860062,"20TK",$SHUTRO,Rotzooi
4122417,2021-02-06 17:33:00,"26.09.4","27.09.2",DHDU 187004 6,CTTROT,1859040,"20TK",$HARTRO,InternalMoveLocations
4117934,2021-02-04 15:05:00,"28.05.2",,DHDU 187061 6,CTTROT,1857801,"20TK",$HARTRO,Rotzooi
4120742,2021-02-05 14:52:00,,TRUCK,DHDU 197002 4,CTTROT,1861621,"20TK",$HARTRO,Rotzooi
4120779,2021-02-05 15:03:00,TRUCK,"35.05.1",DHDU 197002 4,CTTROT,1861621,"20TK",$HARTRO,Gate in truck
4115913,2021-02-03 16:16:00,"03.10.2",,DHDU 207021 7,CTTROT,1850107,"20TK",$HARTGL,Rotzooi
4123759,2021-02-08 12:45:00,,TRUCK,DHDU 207210 1,CTTROT,1862253,"20TK",$HARTRO,Rotzooi
4123790,2021-02-08 12:58:00,TRUCK,"26.11.2",DHDU 207210 1,CTTROT,1862253,"20TK",$HARTRO,Gate in truck
4116382,2021-02-03 21:01:00,"03.13.2","04.13.4",DHDU 207415 1,CTTROT,1830321,"20TK",$BOSCDU,InternalMoveLocations
4122407,2021-02-06 17:23:00,"04.13.4","04.12.2",DHDU 207415 1,CTTROT,1830321,"20TK",$BOSCDU,InternalMoveLocations
4123284,2021-02-08 09:02:00,"04.12.2","04.13.4",DHDU 207415 1,CTTROT,1830321,"20TK",$BOSCDU,InternalMoveLocations
4123287,2021-02-08 09:03:00,"04.13.4","08.13.2",DHDU 207415 1,CTTROT,1830321,"20TK",$BOSCDU,InternalMoveLocations
4116199,2021-02-03 18:35:00,"51.10.3",,DHDU 207437 8,CTTROT,1858365,"20TK",$SHUTRO,Rotzooi
4117607,2021-02-04 13:15:00,,TRUCK,DHDU 207449 1,CTTROT,1860840,"20TK",$HARTRO,Rotzooi
4117697,2021-02-04 13:47:00,TRUCK,"04.09.1",DHDU 207449 1,CTTROT,1860840,"20TK",$HARTRO,Gate in truck
4118297,2021-02-04 16:21:00,"08.10.3","05.10.2",DHDU 207521 9,CTTROT,1855821,"20TK",$HARTGL,InternalMoveLocations
4124552,2021-02-08 20:10:00,"09.05.1","03.05.1",DHDU 208555 7,CTTROT,1852057,"20TK",$HARTRO,InternalMoveLocations
4124612,2021-02-09 06:42:00,"03.05.1","09.05.1",DHDU 208555 7,CTTROT,1852057,"20TK",$HARTRO,InternalMoveLocations
4124892,2021-02-09 09:34:00,"09.05.1","07.07.1",DHDU 208555 7,CTTROT,1852057,"20TK",$HARTRO,InternalMoveLocations
4124986,2021-02-09 10:24:00,"07.07.1",VERWARMEN,DHDU 208555 7,CTTROT,1852057,"20TK",$HARTRO,InternalMoveLocations
4114406,2021-02-03 07:25:00,"48.09.1",,DHDU 208559 9,CTTROT,1858681,"20TK",$SHUTRO,Rotzooi
4114668,2021-02-03 08:33:00,,TIN,DHDU 208568 6,CTTROT,1860067,"20TK",$SHUTRO,Rotzooi
4114838,2021-02-03 09:30:00,TIN,"19.06.2",DHDU 208568 6,CTTROT,1860067,"20TK",$SHUTRO,Gate in train
4114854,2021-02-03 09:35:00,"19.06.2","45.11.2",DHDU 208568 6,CTTROT,1860067,"20TK",$SHUTRO,InternalMoveLocations
4118313,2021-02-04 16:25:00,"45.11.2","47.09.3",DHDU 208568 6,CTTROT,1860067,"20TK",$SHUTRO,InternalMoveLocations
4120729,2021-02-05 14:50:00,"47.09.3",,DHDU 208568 6,CTTROT,1860067,"20TK",$SHUTRO,Rotzooi
4114674,2021-02-03 08:33:00,,TIN,DHDU 208569 1,CTTROT,1860073,"20TK",$SHUTRO,Rotzooi
4114681,2021-02-03 08:38:00,TIN,"29.06.1",DHDU 208569 1,CTTROT,1860073,"20TK",$SHUTRO,Gate in train
4114798,2021-02-03 09:19:00,"29.06.1","49.11.2",DHDU 208569 1,CTTROT,1860073,"20TK",$SHUTRO,InternalMoveLocations
4116652,2021-02-04 07:24:00,"49.11.2","48.10.3",DHDU 208569 1,CTTROT,1860073,"20TK",$SHUTRO,InternalMoveLocations
4118302,2021-02-04 16:23:00,"48.10.3","47.09.2",DHDU 208569 1,CTTROT,1860073,"20TK",$SHUTRO,InternalMoveLocations
4121020,2021-02-05 16:06:00,"47.09.2",,DHDU 208569 1,CTTROT,1860073,"20TK",$SHUTRO,Rotzooi
4114667,2021-02-03 08:33:00,,TIN,DHDU 208570 5,CTTROT,1860066,"20TK",$SHUTRO,Rotzooi
4114685,2021-02-03 08:40:00,TIN,"29.06.2",DHDU 208570 5,CTTROT,1860066,"20TK",$SHUTRO,Gate in train
4114769,2021-02-03 09:10:00,"29.06.2","48.09.2",DHDU 208570 5,CTTROT,1860066,"20TK",$SHUTRO,InternalMoveLocations
4116643,2021-02-04 07:22:00,"48.09.2","47.09.3",DHDU 208570 5,CTTROT,1860066,"20TK",$SHUTRO,InternalMoveLocations
4118293,2021-02-04 16:21:00,"47.09.3","49.09.2",DHDU 208570 5,CTTROT,1860066,"20TK",$SHUTRO,InternalMoveLocations
4125066,2021-02-09 11:16:00,"49.09.2",,DHDU 208570 5,CTTROT,1860066,"20TK",$SHUTRO,Rotzooi
4121891,2021-02-06 09:16:00,,TIN,DHDU 208573 1,CTTROT,1861837,"20TK",$SHUTRO,Rotzooi
4122090,2021-02-06 11:48:00,TIN,"14.07.1",DHDU 208573 1,CTTROT,1861837,"20TK",$SHUTRO,Gate in train
4122130,2021-02-06 12:17:00,"14.07.1","46.11.2",DHDU 208573 1,CTTROT,1861837,"20TK",$SHUTRO,InternalMoveLocations
4123070,2021-02-08 07:11:00,"46.11.2","45.11.3",DHDU 208573 1,CTTROT,1861837,"20TK",$SHUTRO,InternalMoveLocations
4123878,2021-02-08 13:43:00,"45.11.3","49.09.3",DHDU 208573 1,CTTROT,1861837,"20TK",$SHUTRO,InternalMoveLocations
4125055,2021-02-09 11:10:00,"49.09.3","45.09.2",DHDU 208573 1,CTTROT,1861837,"20TK",$SHUTRO,InternalMoveLocations
4121893,2021-02-06 09:16:00,,TIN,DHDU 208574 7,CTTROT,1861839,"20TK",$SHUTRO,Rotzooi
4122077,2021-02-06 11:19:00,TIN,"44.07.1",DHDU 208574 7,CTTROT,1861839,"20TK",$SHUTRO,Gate in train
4122745,2021-02-07 12:10:00,"44.07.1","48.09.3",DHDU 208574 7,CTTROT,1861839,"20TK",$SHUTRO,InternalMoveLocations
4122746,2021-02-07 12:11:00,"48.09.3","48.11.3",DHDU 208574 7,CTTROT,1861839,"20TK",$SHUTRO,InternalMoveLocations
4123572,2021-02-08 11:14:00,"48.11.3","54.11.1",DHDU 208574 7,CTTROT,1861839,"20TK",$SHUTRO,InternalMoveLocations
4124003,2021-02-08 15:09:00,"54.11.1","53.12.1",DHDU 208574 7,CTTROT,1861839,"20TK",$SHUTRO,InternalMoveLocations
4115522,2021-02-03 13:53:00,"45.12.3",,DHDU 208575 2,CTTROT,1858325,"20TK",$SHUTRO,Rotzooi
4116198,2021-02-03 18:35:00,"45.09.3",,DHDU 208585 5,CTTROT,1858326,"20TK",$SHUTRO,Rotzooi
4117339,2021-02-04 11:34:00,"04.10.3",,DHDU 208758 6,CTTROT,1852598,"20TK",$HARTGL,Rotzooi
4121049,2021-02-05 16:17:00,"02.10.3","03.10.3",DHDU 208808 9,CTTROT,1858939,"20TK",$HARTGL,InternalMoveLocations
4121126,2021-02-05 16:56:00,"03.10.3","02.10.2",DHDU 208808 9,CTTROT,1858939,"20TK",$HARTGL,InternalMoveLocations
4114956,2021-02-03 10:17:00,"06.10.3","07.10.2",DHDU 208809 4,CTTROT,1859126,"20TK",$HARTGL,InternalMoveLocations
4118287,2021-02-04 16:19:00,"08.11.2","07.10.4",DHDU 208810 8,CTTROT,1858869,"20TK",$HARTGL,InternalMoveLocations
4122421,2021-02-06 17:36:00,"07.10.4","05.11.2",DHDU 208810 8,CTTROT,1858869,"20TK",$HARTGL,InternalMoveLocations
4123279,2021-02-08 09:01:00,"05.11.2","03.10.2",DHDU 208810 8,CTTROT,1858869,"20TK",$HARTGL,InternalMoveLocations
4114959,2021-02-03 10:18:00,"06.10.2","07.10.3",DHDU 208812 9,CTTROT,1859122,"20TK",$HARTGL,InternalMoveLocations
4121047,2021-02-05 16:17:00,"02.11.1","03.10.2",DHDU 208814 0,CTTROT,1858862,"20TK",$HARTGL,InternalMoveLocations
4121127,2021-02-05 16:56:00,"03.10.2","02.10.3",DHDU 208814 0,CTTROT,1858862,"20TK",$HARTGL,InternalMoveLocations
4118291,2021-02-04 16:20:00,"08.11.1","07.11.1",DHDU 208816 0,CTTROT,1855735,"20TK",$HARTGL,InternalMoveLocations
4122420,2021-02-06 17:35:00,"07.11.1","06.11.1",DHDU 208816 0,CTTROT,1855735,"20TK",$HARTGL,InternalMoveLocations
4123275,2021-02-08 08:59:00,"06.11.1","03.10.1",DHDU 208816 0,CTTROT,1855735,"20TK",$HARTGL,InternalMoveLocations
4115894,2021-02-03 16:09:00,"03.11.2","01.10.2",DHDU 208819 7,CTTROT,1858861,"20TK",$HARTGL,InternalMoveLocations
4124931,2021-02-09 09:54:00,,TRUCK,DHDU 219853 2,CTTROT,1862510,"20TK",$HARTGL,Rotzooi
4124949,2021-02-09 10:03:00,TRUCK,"28.05.2",DHDU 219853 2,CTTROT,1862510,"20TK",$HARTGL,Gate in truck
4114648,2021-02-03 08:33:00,,TIN,DHDU 902791 1,CTTROT,1860047,"20TK",$SHUTRO,Rotzooi
4114799,2021-02-03 09:20:00,TIN,"15.06.1",DHDU 902791 1,CTTROT,1860047,"20TK",$SHUTRO,Gate in train
4114825,2021-02-03 09:27:00,"15.06.1","12.01.2",DHDU 902791 1,CTTROT,1860047,"20TK",$SHUTRO,InternalMoveLocations
4115073,2021-02-03 10:46:00,"12.01.2","12.06.1",DHDU 902791 1,CTTROT,1860047,"20TK",$SHUTRO,InternalMoveLocations
4115081,2021-02-03 10:48:00,"12.06.1",BIJGEREDEN,DHDU 902791 1,CTTROT,1860047,"20TK",$SHUTRO,InternalMoveLocations
4116347,2021-02-03 20:36:00,BIJGEREDEN,BOUT,DHDU 902791 1,CTTROT,1860047,"20TK",$SHUTRO,Gate out barge
4116350,2021-02-03 20:37:00,BOUT,,DHDU 902791 1,CTTROT,1860047,"20TK",$SHUTRO,Rotzooi
4121338,2021-02-05 18:18:00,,TIN,DHDU 902848 2,CTTROT,1861745,"20TK",$PCCGDY,Rotzooi
4121537,2021-02-05 20:16:00,TIN,"16.05.2",DHDU 902848 2,CTTROT,1861745,"20TK",$PCCGDY,Gate in train
4124835,2021-02-09 08:59:00,"16.05.2",,DHDU 902848 2,CTTROT,1861745,"20TK",$PCCGDY,Rotzooi
4114721,2021-02-03 08:55:00,"43.05.3",,DHDU 902884 1,CTTROT,1858601,"20TK",$PCCGDY,Rotzooi
4114693,2021-02-03 08:43:00,,TRUCK,DHDU 902960 0,CTTROT,1860080,"20TK",$SHUTRO,Rotzooi
4114705,2021-02-03 08:49:00,TRUCK,"18.10.2",DHDU 902960 0,CTTROT,1860080,"20TK",$SHUTRO,Gate in truck
4115971,2021-02-03 16:38:00,"18.10.2","14.07.1",DHDU 902960 0,CTTROT,1860080,"20TK",$SHUTRO,InternalMoveLocations
4116035,2021-02-03 17:07:00,"14.07.1",TOUT,DHDU 902960 0,CTTROT,1860080,"20TK",$SHUTRO,Gate out train
4116425,2021-02-03 22:03:00,TOUT,,DHDU 902960 0,CTTROT,1860080,"20TK",$SHUTRO,Rotzooi
4124701,2021-02-09 07:27:00,,TRUCK,DHIU 053271 5,CTTROT,1862458,"20TK",$HARTRO,Rotzooi
4124709,2021-02-09 07:31:00,TRUCK,"35.11.1",DHIU 053271 5,CTTROT,1862458,"20TK",$HARTRO,Gate in truck
4114549,2021-02-03 08:09:00,"38.11.1",,DHIU 053333 1,CTTROT,1859390,"20TK",$HARTRO,Rotzooi
4119310,2021-02-05 07:53:00,,TRUCK,DHIU 053333 1,CTTROT,1861192,"20TK",$HARTRO,Rotzooi
4119325,2021-02-05 07:59:00,TRUCK,BIJGEREDEN,DHIU 053333 1,CTTROT,1861192,"20TK",$HARTRO,Rotzooi
4122247,2021-02-06 14:15:00,BIJGEREDEN,,DHIU 053333 1,CTTROT,1861192,"20TK",$HARTRO,Rotzooi
4117243,2021-02-04 11:02:00,,TIN,DHIU 053335 2,CTTROT,1860699,"20TK",$SHUTRO,Rotzooi
4117246,2021-02-04 11:04:00,TIN,"11.06.1",DHIU 053335 2,CTTROT,1860699,"20TK",$SHUTRO,Gate in train
4117257,2021-02-04 11:08:00,"11.06.1","18.12.2",DHIU 053335 2,CTTROT,1860699,"20TK",$SHUTRO,InternalMoveLocations
4119317,2021-02-05 07:56:00,"18.12.2",,DHIU 053335 2,CTTROT,1860699,"20TK",$SHUTRO,Rotzooi
4114513,2021-02-03 07:57:00,,TRUCK,DHIU 053341 3,CTTROT,1860013,"20TK",$HARTRO,Rotzooi
4114545,2021-02-03 08:08:00,TRUCK,"31.06.1",DHIU 053341 3,CTTROT,1860013,"20TK",$HARTRO,Gate in truck
4114827,2021-02-03 09:27:00,"31.06.1",BIJGEREDEN,DHIU 053341 3,CTTROT,1860013,"20TK",$HARTRO,InternalMoveLocations
4115328,2021-02-03 12:25:00,BIJGEREDEN,BOUT,DHIU 053341 3,CTTROT,1860013,"20TK",$HARTRO,Gate out barge
4115498,2021-02-03 13:40:00,BOUT,,DHIU 053341 3,CTTROT,1860013,"20TK",$HARTRO,Rotzooi
4116807,2021-02-04 08:18:00,"29.09.4","53.06.2",DHIU 053342 9,CTTROT,1859635,"20TK",$HARTRO,InternalMoveLocations
4119117,2021-02-04 21:17:00,"53.06.2",BIJGEREDEN,DHIU 053342 9,CTTROT,1859635,"20TK",$HARTRO,InternalMoveLocations
4120572,2021-02-05 13:58:00,BIJGEREDEN,BOUT,DHIU 053342 9,CTTROT,1859635,"20TK",$HARTRO,Gate out barge
4120584,2021-02-05 13:59:00,BOUT,,DHIU 053342 9,CTTROT,1859635,"20TK",$HARTRO,Rotzooi
4115521,2021-02-03 13:53:00,"28.13.1",,DHIU 053343 4,CTTROT,1858323,"20TK",$SHUTRO,Rotzooi
4121918,2021-02-06 09:16:00,,TIN,DHIU 054128 1,CTTROT,1861863,"23TK",$SHUTRO,Rotzooi
4121973,2021-02-06 10:14:00,TIN,"10.06.3",DHIU 054128 1,CTTROT,1861863,"23TK",$SHUTRO,Gate in train
4122063,2021-02-06 10:59:00,"10.06.3","51.12.1",DHIU 054128 1,CTTROT,1861863,"23TK",$SHUTRO,InternalMoveLocations
4123862,2021-02-08 13:32:00,"51.12.1",,DHIU 054128 1,CTTROT,1861863,"23TK",$SHUTRO,Rotzooi
4125032,2021-02-09 11:02:00,,TRUCK,DHIU 062091 9,CTTROT,1862540,"22TK",$PCCGDY,Rotzooi
4125048,2021-02-09 11:07:00,TRUCK,"13.12.3",DHIU 062091 9,CTTROT,1862540,"22TK",$PCCGDY,Gate in truck
4119675,2021-02-05 09:52:00,,TRUCK,DHIU 062122 1,CTTROT,1861278,"22TK",$PCCGDY,Rotzooi
