NRAXES,MAXTEU,CALLCODE,WAGTYPE,WPOS,WAGON,UNNR,UNKLASSE,UNITWEIGHTNETT,UNITTYPE,UNITSEQUENCE,TRACK,TEUS,TERMINALWEIGHTNETT,TARE,SIZEFT,STARTPOSITION,SEQ,PAYLOAD,MOVETYPE,LOCATION,LEN,CONTAINERTARRA,CONTAINERNUMBER,COMPOUNDPOS,PRIOCONTAINER,PRIORITY,TravelDistance Value,Train Split Value,Reversed Value
,,CTTROT20210210POL,,,,,,,,2945064,,,,,,,366266,,,,,,,,TKRU 306403 0,1,221,11,1
,,CTTROT20210210POL,,,,,,,,2945065,,,,,,,366266,,,,,,,,ABEU 252369 4,1,221,11,1
,,CTTROT20210210POL,,,,,,,,2945069,,,,,,,366266,,,,,,,,GCAU 795003 0,1,221,11,1
,,CTTROT20210210POL,,,,,,,,2945070,,,,,,,366266,,,,,,,,ICUU 214140 9,1,221,11,1
,,CTTROT20210210POL,,,,,,,,2945071,,,,,,,366266,,,,,,,,ICUU 214319 2,1,221,11,1
,,CTTROT20210210POL,,,,,,,,2945072,,,,,,,366266,,,,,,,,TDTU 132038 0,1,221,11,1
,,CTTROT20210210POL,,,,,,,,2945073,,,,,,,366266,,,,,,,,TDTU 405132 4,1,221,11,1
,,CTTROT20210210POL,,,,,,,,2945075,,,,,,,366266,,,,,,,,TCLU 071905 5,1,221,11,1
,,CTTROT20210210POL,,,,,,,,2945077,,,,,,,366266,,,,,,,,TCLU 193375 5,1,221,11,1
,,CTTROT20210210POL,,,,,,,,2945079,,,,,,,366266,,,,,,,,TTNU 152487 0,1,221,11,1
,,CTTROT20210210POL,,,,,,,,2945081,,,,,,,366266,,,,,,,,TDTU 171088 1,1,221,11,1
,,CTTROT20210210POL,,,,,,,,2945083,,,,,,,366266,,,,,,,,TCKU 329054 2,1,221,11,1
,,CTTROT20210210POL,,,,,,,,2945086,,,,,,,366266,,,,,,,,PCVU 310087 8,1,221,11,1
,,CTTROT20210210POL,,,,,,,,2945087,,,,,,,366266,,,,,,,,TWSU 271862 3,1,221,11,1
,,CTTROT20210210POL,,,,,,,,2945088,,,,,,,366266,,,,,,,,EXFU 878921 4,1,221,11,1
,,CTTROT20210210POL,,,,,,,,2945089,,,,,,,366266,,,,,,,,RTMU 351001 6,1,221,11,1
,,CTTROT20210210POL,,,,,,,,2945090,,,,,,,366266,,,,,,,,ABEU 350009 7,1,221,11,1
,,CTTROT20210210POL,,,,,,,,2945092,,,,,,,366266,,,,,,,,PCVU 350017 5,1,221,11,1
,,CTTROT20210210POL,,,,,,,,2945094,,,,,,,366266,,,,,,,,TANU 351115 4,1,221,11,1
,,CTTROT20210210POL,,,,,,,,2945096,,,,,,,366266,,,,,,,,PCCU 352602 3,1,221,11,1
,,CTTROT20210210POL,,,,,,,,2945098,,,,,,,366266,,,,,,,,EXFU 879786 3,1,221,11,1
,,CTTROT20210210POL,,,,,,,,2945100,,,,,,,366266,,,,,,,,HUKU 311440 1,1,221,11,1
,,CTTROT20210210POL,,,,,,,,2945102,,,,,,,366266,,,,,,,,ABEU 590011 1,1,221,11,1
,,CTTROT20210210POL,,,,,,,,2945104,,,,,,,366266,,,,,,,,DHBU 317212 9,1,221,11,1
,,CTTROT20210210POL,,,,,,,,2945108,,,,,,,366266,,,,,,,,SANU 799044 0,1,221,11,1
,,CTTROT20210210POL,,,,,,,,2945115,,,,,,,366266,,,,,,,,CNEU 459485 7,1,221,11,1
,,CTTROT20210210POL,,,,,,,,2945122,,,,,,,366266,,,,,,,,NFLU 203485 7,1,221,11,1
,,CTTROT20210210POL,,,,,,,,2945124,,,,,,,366266,,,,,,,,EUCU 454109 4,1,221,11,1
,,CTTROT20210210POL,,,,,,,,2945126,,,,,,,366266,,,,,,,,PVDU 112425 9,1,221,11,1
,,CTTROT20210210POL,,,,,,,,2945129,,,,,,,366266,,,,,,,,PVDU 113100 5,1,221,11,1
,,CTTROT20210210POL,,,,,,,,2945131,,,,,,,366266,,,,,,,,EUCU 453083 9,1,221,11,1
,,CTTROT20210210POL,,,,,,,,2945133,,,,,,,366266,,,,,,,,EUCU 451609 1,1,221,11,1
,,CTTROT20210210POL,,,,,,,,2945137,,,,,,,366266,,,,,,,,EUCU 454216 7,1,221,11,1
,,CTTROT20210210POL,,,,,,,,2945153,,,,,,,366266,,,,,,,,MCMU 635046 5,1,221,11,1
,,CTTROT20210210POL,,,,,,,,2945155,,,,,,,366266,,,,,,,,MCMU 635043 9,1,221,11,1
,,CTTROT20210210POL,,,,,,,,2945158,,,,,,,366266,,,,,,,,RZDU 300840 5,1,221,11,1
,,CTTROT20210210POL,,,,,,,,2945159,,,,,,,366266,,,,,,,,RZDU 300903 7,1,221,11,1
,,CTTROT20210210POL,,,,,,,,2945160,,,,,,,366266,,,,,,,,RZDU 301684 3,1,221,11,1
,,CTTROT20210210POL,,,,,,,,2945371,,,,,,,366266,,,,,,,,RSTU 854066 0,1,221,11,1
,,CTTROT20210210POL,,,,,,,,2945380,,,,,,,366266,,,,,,,,TEMU 880799 3,1,221,11,1
,,CTTROT20210210POL,,,,,,,,2948332,,,,,,,366266,,,,,,,,TCLU 069375 2,1,221,11,1
,,CTTROT20210210POL,,,,,,,,2948333,,,,,,,366266,,,,,,,,NWBU 010520 0,1,221,11,1
,,CTTROT20210210POL,,,,,,,,2948334,,,,,,,366266,,,,,,,,NWBU 990500 8,1,221,11,1
,,CTTROT20210210POL,,,,,,,,2948335,,,,,,,366266,,,,,,,,MRKU 951991 6,1,221,11,1
,,CTTROT20210210POL,,,,,,,,2948336,,,,,,,366266,,,,,,,,KRIU 226007 9,1,221,11,1
,,CTTROT20210210POL,,,,,,,,2948337,,,,,,,366266,,,,,,,,DHIU 184131 8,1,221,11,1
,,CTTROT20210210POL,,,,,,,,2948338,,,,,,,366266,,,,,,,,NWBU 010524 1,1,221,11,1
,,CTTROT20210210POL,,,,,,,,2948339,,,,,,,366266,,,,,,,,SEGU 813533 6,1,221,11,1
,,CTTROT20210210POL,,,,,,,,2948340,,,,,,,366266,,,,,,,,SEGU 813534 1,1,221,11,1
,,CTTROT20210210POL,,,,,,,,2948341,,,,,,,366266,,,,,,,,SEGU 813535 7,1,221,11,1
,,CTTROT20210210POL,,,,,,,,2948342,,,,,,,366266,,,,,,,,BIDU 497390 0,1,221,11,1
,,CTTROT20210210POL,,,,,,,,2948343,,,,,,,366266,,,,,,,,PCVU 260008 2,1,221,11,1
,,CTTROT20210210POL,,,,,,,,2948344,,,,,,,366266,,,,,,,,PCCU 272001 3,1,221,11,1
,,CTTROT20210210POL,,,,,,,,2948345,,,,,,,366266,,,,,,,,BIDU 491501 5,1,221,11,1
,,CTTROT20210210POL,,,,,,,,2948346,,,,,,,366266,,,,,,,,BIDU 491131 8,1,221,11,1
,,CTTROT20210210POL,,,,,,,,2948348,,,,,,,366266,,,,,,,,BIDU 492646 8,1,221,11,1
,,CTTROT20210210POL,,,,,,,,2948350,,,,,,,366266,,,,,,,,PCVU 288012 6,1,221,11,1
,,CTTROT20210210POL,,,,,,,,2948351,,,,,,,366266,,,,,,,,TDTU 058258 0,1,221,11,1
,,CTTROT20210210POL,,,,,,,,2948352,,,,,,,366266,,,,,,,,IPXU 373342 3,1,221,11,1
,,CTTROT20210210POL,,,,,,,,2948354,,,,,,,366266,,,,,,,,DHIU 877207 6,1,221,11,1
,,CTTROT20210210POL,,,,,,0,20DV,2945158,,1,,,,,366266,,lader,CTTROT,,2300,RZDU 300840 5,,,,221,11,1
,,CTTROT20210210POL,,,,,,0,20DV,2945159,,1,,,,,366266,,lader,CTTROT,,2300,RZDU 300903 7,,,,221,11,1
,,CTTROT20210210POL,,,,,,0,20DV,2945160,,1,,,,,366266,,lader,CTTROT,,2300,RZDU 301684 3,,,,221,11,1
,,CTTROT20210210POL,,,,,,0,26TK,2945153,,1.3,,,,,366266,,lader,CTTROT,,4800,MCMU 635046 5,,,,221,11,1
,,CTTROT20210210POL,,,,,,0,26TK,2945155,,1.3,,,,,366266,,lader,CTTROT,,4800,MCMU 635043 9,,,,221,11,1
,,CTTROT20210210POL,,,,,,5720,45PW,2945126,,2.25,,,,,366266,,lader,CTTROT,,4400,PVDU 112425 9,,,,221,11,1
,,CTTROT20210210POL,,,,,,6028,20DV,2948332,,1,,,,,366266,,lader,CTTROT,,2300,TCLU 069375 2,,,,221,11,1
,,CTTROT20210210POL,,,,,,15000,20DV,2948335,,1,,,,,366266,,lader,CTTROT,,2300,MRKU 951991 6,,,,221,11,1
,,CTTROT20210210POL,,,,,,16440,45PW,2945124,,2.25,,,,,366266,,lader,CTTROT,,4400,EUCU 454109 4,,,,221,11,1
,,CTTROT20210210POL,,,,,,16874,40HC,2945380,,2,,,,,366266,,lader,CTTROT,,4200,TEMU 880799 3,,,,221,11,1
,,CTTROT20210210POL,,,,,,17334,20DV,2945063,,1,,,,,366266,,lader,CTTROT,,2300,TKRU 331508 0,,,,221,11,1
,,CTTROT20210210POL,,,,,,17334,20DV,2945064,,1,,,,,366266,,lader,CTTROT,,2300,TKRU 306403 0,,,,221,11,1
,,CTTROT20210210POL,,,,,,17840,45PW,2945129,,2.25,,,,,366266,,lader,CTTROT,,4400,PVDU 113100 5,,,,221,11,1
,,CTTROT20210210POL,,,,,,18372,45PW,2944805,,2.25,,,,,366266,,lader,CTTROT,,4400,EUCU 451790 3,,,,221,11,1
,,CTTROT20210210POL,,,,,,18372,45PW,2945133,,2.25,,,,,366266,,lader,CTTROT,,4400,EUCU 451609 1,,,,221,11,1
