NRAXES,MAXTEU,CALLCODE,WAGTYPE,WPOS,WAGON,UNNR,UNKLASSE,UNITWEIGHTNETT,UNITTYPE,UNITSEQUENCE,TRACK,TEUS,TERMINALWEIGHTNETT,TARE,SIZEFT,STARTPOSITION,SEQ,PAYLOAD,MOVETYPE,LOCATION,LEN,CONTAINERTARRA,CONTAINERNUMBER,COMPOUNDPOS,PRIOCONTAINER,PRIORITY,TravelDistance Value,Train Split Value,Reversed Value
,,CTTROT20210216POL,,,,,,24180,20TK,2960470,,1,,,,,366418,,lader,CTTROT,,4000,BTTU 223108 5,,,,221,11,1
,,CTTROT20210216POL,,,,,,24436,45PW,2958687,,2.25,,,,,366418,,lader,CTTROT,,4400,CLDU 962913 6,,,,221,11,1
,,CTTROT20210216POL,,,,,,24880,20TK,2960333,,1,,,,,366418,,lader,CTTROT,,4000,NWBU 082664 9,,,,221,11,1
,,CTTROT20210216POL,,,,,,25000,20TK,2958647,,1,,,,,366418,,lader,CTTROT,,4000,PCVU 260064 7,,,,221,11,1
,,CTTROT20210216POL,,,,,,25240,26TK,2958942,,1.3,,,,,366418,,lader,CTTROT,,4800,MCMU 635042 3,,,,221,11,1
,,CTTROT20210216POL,,,,,,25280,20TK,2959212,,1,0,,,,366418,,lader,CTTROT,,4000,PCVU 288022 9,35.10.1,,,221,11,1
,,CTTROT20210216POL,,,,,,25500,20TK,2959474,,1,,,,,366418,,lader,CTTROT,,4000,DHDU 208805 2,,,,221,11,1
,,CTTROT20210216POL,,,,,,25860,20DV,2959467,,1,,,,,366418,,lader,CTTROT,,2300,TCLU 226328 3,,,,221,11,1
,,CTTROT20210216POL,,,,,,25960,20DV,2959464,,1,,,,,366418,,lader,CTTROT,,2300,CAIU 210709 4,,,,221,11,1
,,CTTROT20210216POL,,,,,,26000,26TK,2958669,,1.3,,,,,366418,,lader,CTTROT,,4800,BTLU 330029 0,,,,221,11,1
,,CTTROT20210216POL,,,,,,26020,20DV,2959466,,1,,,,,366418,,lader,CTTROT,,2300,CAXU 696573 0,,,,221,11,1
,,CTTROT20210216POL,,,,,,26030,30TK,2958912,,1.5,0,,,,366418,,lader,CTTROT,,2800,NWBU 050535 6,21.09.1,,,221,11,1
,,CTTROT20210216POL,,,,,,26080,20DV,2959462,,1,,,,,366418,,lader,CTTROT,,2300,TCKU 133127 8,,,,221,11,1
,,CTTROT20210216POL,,,,,,26320,20DV,2958658,,1,,,,,366418,,lader,CTTROT,,2300,TCKU 305135 8,,,,221,11,1
,,CTTROT20210216POL,,,,,,26760,26TK,2958668,,1.3,,,,,366418,,lader,CTTROT,,4800,PCVU 935011 2,,,,221,11,1
,,CTTROT20210216POL,,,,,,26950,26TK,2958667,,1.3,0,,,,366418,,lader,CTTROT,,4800,TANU 351116 0,50.13.2,,,221,11,1
,,CTTROT20210216POL,,,,,,26970,26TK,2960345,,1.3,,,,,366418,,lader,CTTROT,,4800,ZTKU 735013 0,,,,221,11,1
,,CTTROT20210216POL,,,,,,27000,20TK,2959472,,1,,,,,366418,,lader,CTTROT,,4000,PCVU 288025 5,,,,221,11,1
,,CTTROT20210216POL,,,,,,27000,26TK,2961493,,1.3,,,,,366418,,lader,CTTROT,,4800,PCCU 352603 9,,,,221,11,1
,,CTTROT20210216POL,,,,,,27050,26TK,2959099,,1.3,,,,,366418,,lader,CTTROT,,4800,PCVU 935014 9,,,,221,11,1
,,CTTROT20210216POL,,,,,,27620,20TK,2958666,,1,,,,,366418,,lader,CTTROT,,4000,KRIU 226037 7,,,,221,11,1
,,CTTROT20210216POL,,,,,,28000,26TK,2958943,,1.3,,,,,366418,,lader,CTTROT,,4800,PCTU 351008 5,,,,221,11,1
,,CTTROT20210216POL,,,,,,28000,26TK,2961651,,1.3,,,,,366418,,lader,CTTROT,,4800,COUU 810204 9,,,,221,11,1
,,CTTROT20210216POL,,,,,,28720,20TK,2958664,,1,,,,,366418,,lader,CTTROT,,4000,ABEU 262887 0,,,,221,11,1
,,CTTROT20210216POL,,,,1547000,6.1,24000,20TK,2960356,,1,1,,,,366418,,lader,CTTROT,,4000,MEBU 126421 4,26.14.1,,,221,11,1
,,CTTROT20210216POL,SGGMRS,10,37804963033-8,,,,,,,,,,,,366418,,,,,,,,,,221,11,1
,,CTTROT20210216POL,SGGMRS,19,37804963032-0,,,,,,,,,,,,366418,,,,,,,,,,221,11,1
,,CTTROT20210216POL,SGGMRS,20,37804963035-3,,,,,,,,,,,,366418,,,,,,,,,,221,11,1
,,CTTROT20210216POL,SGGNS,4,37804952554-6,,,,,,,,,,,,366418,,,,,,,,,,221,11,1
,,CTTROT20210216POL,SGNS,25,37804558982-7,,,,,,,,,,,,366418,,,,,,,,,,221,11,1
,,CTTROT20210216POL,SGNSS,5,33684558702-9,,,,,,,,,,,,366418,,,,,,,,,,221,11,1
,,CTTROT20210216POL,SGNSS,15,37804556181-8,,,,,,,,,,,,366418,,,,,,,,,,221,11,1
,,CTTROT20210216POL-B,,,,,,,,2961382,,,,,,,366512,,,,,,,,HAAU 261176 4,1,221,11,1
,,CTTROT20210216POL-B,,,,,,,,2961384,,,,,,,366512,,,,,,,,EXFU 550988 1,1,221,11,1
,,CTTROT20210216POL-B,,,,,,,,2961385,,,,,,,366512,,,,,,,,TIFU 151282 8,1,221,11,1
,,CTTROT20210216POL-B,,,,,,,,2961386,,,,,,,366512,,,,,,,,EXFU 073883 8,1,221,11,1
,,CTTROT20210216POL-B,,,,,,,,2961387,,,,,,,366512,,,,,,,,EXFU 072522 9,1,221,11,1
,,CTTROT20210216POL-B,,,,,,,,2961388,,,,,,,366512,,,,,,,,BGBU 505933 4,1,221,11,1
,,CTTROT20210216POL-B,,,,,,,,2961390,,,,,,,366512,,,,,,,,CAIU 205462 5,1,221,11,1
,,CTTROT20210216POL-B,,,,,,,,2961391,,,,,,,366512,,,,,,,,FSCU 311282 6,1,221,11,1
,,CTTROT20210216POL-B,,,,,,,,2961392,,,,,,,366512,,,,,,,,TRLU 383976 8,1,221,11,1
,,CTTROT20210216POL-B,,,,,,,,2961393,,,,,,,366512,,,,,,,,TCKU 362039 3,1,221,11,1
,,CTTROT20210216POL-B,,,,,,,,2961397,,,,,,,366512,,,,,,,,DHIU 062636 8,1,221,11,1
,,CTTROT20210216POL-B,,,,,,,,2961398,,,,,,,366512,,,,,,,,EXFU 877819 0,1,221,11,1
,,CTTROT20210216POL-B,,,,,,,,2961400,,,,,,,366512,,,,,,,,TCSU 101072 7,1,221,11,1
,,CTTROT20210216POL-B,,,,,,,,2961401,,,,,,,366512,,,,,,,,ATRU 330000 5,1,221,11,1
,,CTTROT20210216POL-B,,,,,,,,2961402,,,,,,,366512,,,,,,,,EXFU 879782 1,1,221,11,1
,,CTTROT20210216POL-B,,,,,,,,2961418,,,,,,,366512,,,,,,,,LYSU 545721 6,1,221,11,1
,,CTTROT20210216POL-B,,,,,,,,2961419,,,,,,,366512,,,,,,,,CNEU 460911 3,1,221,11,1
,,CTTROT20210216POL-B,,,,,,,,2961423,,,,,,,366512,,,,,,,,CNEU 459344 4,1,221,11,1
,,CTTROT20210216POL-B,,,,,,,,2961424,,,,,,,366512,,,,,,,,EUCU 451163 3,1,221,11,1
,,CTTROT20210216POL-B,,,,,,,,2961425,,,,,,,366512,,,,,,,,EUCU 451334 3,1,221,11,1
,,CTTROT20210216POL-B,,,,,,,,2961426,,,,,,,366512,,,,,,,,EUCU 451812 9,1,221,11,1
,,CTTROT20210216POL-B,,,,,,,,2961427,,,,,,,366512,,,,,,,,EUCU 453054 6,1,221,11,1
,,CTTROT20210216POL-B,,,,,,,,2961428,,,,,,,366512,,,,,,,,EUCU 453220 9,1,221,11,1
,,CTTROT20210216POL-B,,,,,,,,2961429,,,,,,,366512,,,,,,,,EUCU 460019 7,1,221,11,1
,,CTTROT20210216POL-B,,,,,,,,2961430,,,,,,,366512,,,,,,,,EUCU 466010 7,1,221,11,1
,,CTTROT20210216POL-B,,,,,,,,2961431,,,,,,,366512,,,,,,,,PVDU 111201 0,1,221,11,1
,,CTTROT20210216POL-B,,,,,,,,2961432,,,,,,,366512,,,,,,,,TCLU 481559 2,1,221,11,1
,,CTTROT20210216POL-B,,,,,,,,2961433,,,,,,,366512,,,,,,,,TCLU 481833 3,1,221,11,1
,,CTTROT20210216POL-B,,,,,,,,2961434,,,,,,,366512,,,,,,,,TLLU 160914 8,1,221,11,1
,,CTTROT20210216POL-B,,,,,,,,2961473,,,,,,,366512,,,,,,,,PCVU 260104 7,1,221,11,1
,,CTTROT20210216POL-B,,,,,,,,2961481,,,,,,,366512,,,,,,,,SEGU 812685 9,1,221,11,1
,,CTTROT20210216POL-B,,,,,,,,2961495,,,,,,,366512,,,,,,,,WAUU 351130 1,1,221,11,1
,,CTTROT20210216POL-B,,,,,,,,2961504,,,,,,,366512,,,,,,,,BUKU 462199 8,1,221,11,1
,,CTTROT20210216POL-B,,,,,,,,2961520,,,,,,,366512,,,,,,,,LYSU 545585 1,1,221,11,1
,,CTTROT20210216POL-B,,,,,,,,2961620,,,,,,,366512,,,,,,,,SEGU 812706 9,1,221,11,1
,,CTTROT20210216POL-B,,,,,,,,2961622,,,,,,,366512,,,,,,,,PCVU 288002 3,1,221,11,1
,,CTTROT20210216POL-B,,,,,,,,2961623,,,,,,,366512,,,,,,,,NWBU 103513 3,1,221,11,1
,,CTTROT20210216POL-B,,,,,,,,2961624,,,,,,,366512,,,,,,,,NWBU 083251 2,1,221,11,1
,,CTTROT20210216POL-B,,,,,,,,2961627,,,,,,,366512,,,,,,,,PCVU 288032 1,1,221,11,1
,,CTTROT20210216POL-B,,,,,,,,2961648,,,,,,,366512,,,,,,,,DHIU 074177 8,1,221,11,1
,,CTTROT20210216POL-B,,,,,,,,2961663,,,,,,,366512,,,,,,,,BUKU 462640 7,1,221,11,1
,,CTTROT20210216POL-B,,,,,,,,2961798,,,,,,,366512,,,,,,,,TRLU 880092 2,1,221,11,1
,,CTTROT20210216POL-B,,,,,,,,2961815,,,,,,,366512,,,,,,,,GCAU 788111 3,1,221,11,1
,,CTTROT20210216POL-B,,,,,,,,2962646,,,,,,,366512,,,,,,,,CLHU 478465 9,1,221,11,1
,,CTTROT20210216POL-B,,,,,,,,2962701,,,,,,,366512,,,,,,,,EISU 921981 2,1,221,11,1
,,CTTROT20210216POL-B,,,,,,,,2962930,,,,,,,366512,,,,,,,,PCVU 260137 1,1,221,11,1
,,CTTROT20210216POL-B,,,,,,,,2962938,,,,,,,366512,,,,,,,,PCVU 261031 0,1,221,11,1
,,CTTROT20210216POL-B,,,,,,,,2962981,,,,,,,366512,,,,,,,,MEDU 458511 2,1,221,11,1
,,CTTROT20210216POL-B,,,,,,,,2963353,,,,,,,366512,,,,,,,,CMAU 060937 3,1,221,11,1
,,CTTROT20210216POL-B,,,,,,,,2963874,,,,,,,366512,,,,,,,,NWBU 050536 1,1,221,11,1
,,CTTROT20210216POL-B,,,,,,0,45PW,2961423,,2.25,,,,,366512,,lader,CTTROT,,4400,CNEU 459344 4,,,,221,11,1
,,CTTROT20210216POL-B,,,,,,0,45PW,2961424,,2.25,,,,,366512,,lader,CTTROT,,4400,EUCU 451163 3,,,,221,11,1
,,CTTROT20210216POL-B,,,,,,0,45PW,2961425,,2.25,,,,,366512,,lader,CTTROT,,4400,EUCU 451334 3,,,,221,11,1
,,CTTROT20210216POL-B,,,,,,0,45PW,2961426,,2.25,,,,,366512,,lader,CTTROT,,4400,EUCU 451812 9,,,,221,11,1
,,CTTROT20210216POL-B,,,,,,0,45PW,2961427,,2.25,,,,,366512,,lader,CTTROT,,4400,EUCU 453054 6,,,,221,11,1
,,CTTROT20210216POL-B,,,,,,0,45PW,2961428,,2.25,,,,,366512,,lader,CTTROT,,4400,EUCU 453220 9,,,,221,11,1
,,CTTROT20210216POL-B,,,,,,0,45PW,2961429,,2.25,,,,,366512,,lader,CTTROT,,4400,EUCU 460019 7,,,,221,11,1
,,CTTROT20210216POL-B,,,,,,0,45PW,2961430,,2.25,,,,,366512,,lader,CTTROT,,4400,EUCU 466010 7,,,,221,11,1
,,CTTROT20210216POL-B,,,,,,0,45PW,2961431,,2.25,,,,,366512,,lader,CTTROT,,4400,PVDU 111201 0,,,,221,11,1
,,CTTROT20210216POL-B,,,,,,0,45PW,2961432,,2.25,,,,,366512,,lader,CTTROT,,4400,TCLU 481559 2,,,,221,11,1
,,CTTROT20210216POL-B,,,,,,0,45PW,2961433,,2.25,,,,,366512,,lader,CTTROT,,4400,TCLU 481833 3,,,,221,11,1
,,CTTROT20210216POL-B,,,,,,0,45PW,2961434,,2.25,,,,,366512,,lader,CTTROT,,4400,TLLU 160914 8,,,,221,11,1
,,CTTROT20210216POL-B,,,,,,2943,40HC,2962981,,2,,,,,366512,,lader,CTTROT,,4200,MEDU 458511 2,,,,221,11,1
,,CTTROT20210216POL-B,,,,,,9583,40DV,2962646,,2,,,,,366512,,lader,CTTROT,,4000,CLHU 478465 9,,,,221,11,1
,,CTTROT20210216POL-B,,,,,,11000,40DV,2962701,,2,,,,,366512,,lader,CTTROT,,4000,EISU 921981 2,,,,221,11,1
,,CTTROT20210216POL-B,,,,,,19934,20DV,2963353,,1,,,,,366512,,lader,CTTROT,,2300,CMAU 060937 3,,,,221,11,1
,,CTTROT20210216POL-B,,,,,,20817,45PW,2961418,,2.25,,,,,366512,,lader,CTTROT,,4400,LYSU 545721 6,,,,221,11,1
,,CTTROT20210216POL-B,,,,,,21000,20TK,2961382,,1,,,,,366512,,lader,CTTROT,,4000,HAAU 261176 4,,,,221,11,1
,,CTTROT20210216POL-B,,,,,,21860,20TK,2961388,,1,,,,,366512,,lader,CTTROT,,4000,BGBU 505933 4,,,,221,11,1
,,CTTROT20210216POL-B,,,,,,22048,45OS,2961520,,2.25,,,,,366512,,lader,CTTROT,,4500,LYSU 545585 1,,,,221,11,1
,,CTTROT20210216POL-B,,,,,,22180,20TK,2961384,,1,,,,,366512,,lader,CTTROT,,4000,EXFU 550988 1,,,,221,11,1
,,CTTROT20210216POL-B,,,,,,22180,20TK,2961385,,1,,,,,366512,,lader,CTTROT,,4000,TIFU 151282 8,,,,221,11,1
,,CTTROT20210216POL-B,,,,,,22180,20TK,2961386,,1,,,,,366512,,lader,CTTROT,,4000,EXFU 073883 8,,,,221,11,1
,,CTTROT20210216POL-B,,,,,,22180,20TK,2961387,,1,,,,,366512,,lader,CTTROT,,4000,EXFU 072522 9,,,,221,11,1
,,CTTROT20210216POL-B,,,,,,22840,24TK,2961495,,1.2,,,,,366512,,lader,CTTROT,,4800,WAUU 351130 1,,,,221,11,1
,,CTTROT20210216POL-B,,,,,,23000,20TK,2962938,,1,,,,,366512,,lader,CTTROT,,4000,PCVU 261031 0,,,,221,11,1
,,CTTROT20210216POL-B,,,,,,23000,45PW,2961419,,2.25,,,,,366512,,lader,CTTROT,,4400,CNEU 460911 3,,,,221,11,1
,,CTTROT20210216POL-B,,,,,,23080,30TK,2961624,,1.5,,,,,366512,,lader,CTTROT,,2800,NWBU 083251 2,,,,221,11,1
,,CTTROT20210216POL-B,,,,,,23680,20DV,2961393,,1,,,,,366512,,lader,CTTROT,,2300,TCKU 362039 3,,,,221,11,1
,,CTTROT20210216POL-B,,,,,,23980,22TK,2961397,,1.1,,,,,366512,,lader,CTTROT,,4800,DHIU 062636 8,,,,221,11,1
,,CTTROT20210216POL-B,,,,,,24100,20TK,2961815,,1,,,,,366512,,lader,CTTROT,,4000,GCAU 788111 3,,,,221,11,1
,,CTTROT20210216POL-B,,,,,,24940,20TK,2961473,,1,,,,,366512,,lader,CTTROT,,4000,PCVU 260104 7,,,,221,11,1
,,CTTROT20210216POL-B,,,,,,25040,26TK,2961623,,1.3,,,,,366512,,lader,CTTROT,,4800,NWBU 103513 3,,,,221,11,1
,,CTTROT20210216POL-B,,,,,,25500,26TK,2961402,,1.3,,,,,366512,,lader,CTTROT,,4800,EXFU 879782 1,,,,221,11,1
,,CTTROT20210216POL-B,,,,,,25520,20TK,2961481,,1,,,,,366512,,lader,CTTROT,,4000,SEGU 812685 9,,,,221,11,1
,,CTTROT20210216POL-B,,,,,,25520,20TK,2961620,,1,,,,,366512,,lader,CTTROT,,4000,SEGU 812706 9,,,,221,11,1
,,CTTROT20210216POL-B,,,,,,25580,20DV,2961798,,1,,,,,366512,,lader,CTTROT,,2300,TRLU 880092 2,,,,221,11,1
,,CTTROT20210216POL-B,,,,,,25600,20DV,2961391,,1,,,,,366512,,lader,CTTROT,,2300,FSCU 311282 6,,,,221,11,1
,,CTTROT20210216POL-B,,,,,,25645,20DV,2961390,,1,,,,,366512,,lader,CTTROT,,2300,CAIU 205462 5,,,,221,11,1
,,CTTROT20210216POL-B,,,,,,25660,30BU,2961504,,1.5,,,,,366512,,lader,CTTROT,,3300,BUKU 462199 8,,,,221,11,1
,,CTTROT20210216POL-B,,,,,,25880,20DV,2961392,,1,,,,,366512,,lader,CTTROT,,2300,TRLU 383976 8,,,,221,11,1
,,CTTROT20210216POL-B,,,,,,26000,20TK,2961627,,1,,,,,366512,,lader,CTTROT,,4000,PCVU 288032 1,,,,221,11,1
,,CTTROT20210216POL-B,,,,,,26000,26TK,2961398,,1.3,,,,,366512,,lader,CTTROT,,4800,EXFU 877819 0,,,,221,11,1
,,CTTROT20210216POL-B,,,,,,26480,22TK,2961648,,1.1,,,,,366512,,lader,CTTROT,,4800,DHIU 074177 8,,,,221,11,1
,,CTTROT20210216POL-B,,,,,,26500,20TK,2962930,,1,,,,,366512,,lader,CTTROT,,4000,PCVU 260137 1,,,,221,11,1
,,CTTROT20210216POL-B,,,,,,27000,20TK,2961622,,1,,,,,366512,,lader,CTTROT,,4000,PCVU 288002 3,,,,221,11,1
,,CTTROT20210216POL-B,,,,,,27000,30TK,2963874,,1.5,,,,,366512,,lader,CTTROT,,2800,NWBU 050536 1,,,,221,11,1
,,CTTROT20210216POL-B,,,,,,27200,30BU,2961663,,1.5,,,,,366512,,lader,CTTROT,,3300,BUKU 462640 7,,,,221,11,1
,,CTTROT20210216POL-B,,,,,,27850,24TK,2961400,,1.2,,,,,366512,,lader,CTTROT,,4800,TCSU 101072 7,,,,221,11,1
,,CTTROT20210216POL-B,,,,,,27900,26TK,2961401,,1.3,,,,,366512,,lader,CTTROT,,4800,ATRU 330000 5,,,,221,11,1
,,CTTROT20210216POL-B,SGGNS,12,33884961494-0,,,,,,,,,,,,366512,,,,,,,,,,221,11,1
,,CTTROT20210216POL-B,SGGNS,14,33884961026-0,,,,,,,,,,,,366512,,,,,,,,,,221,11,1
,,CTTROT20210216POL-B,SGNS,4,37804557221-1,,,,,,,,,,,,366512,,,,,,,,,,221,11,1
,,CTTROT20210216POL-B,SGNSS,16,33684557728-5,,,,,,,,,,,,366512,,,,,,,,,,221,11,1
,,CTTROT20210217BASEL,SGGRSS,24,33884975050-5,,,,,,,,,,,,366147,,,,,,,,,,221,11,1
,,CTTROT20210217BASEL,SGJS,23,37844552052-1,,,,,,,,,,,,366147,,,,,,,,,,221,11,1
,,CTTROT20210217BASEL,SGNSS,25,37844552048-9,,,,,,,,,,,,366147,,,,,,,,,,221,11,1
,,CTTROT20210217BASEL-B,SGGMRS,3,37804961406-8,,,,,,,,,,,,367007,,,,,,,,,,221,11,1
,,CTTROT20210217BASEL-B,Sggmrss,2,33884975098-3,,,,,,,,,,,,367007,,,,,,,,,,221,11,1
,,CTTROT20210217BASEL-B,SGGNS,8,37804980601-1,,,,,,,,,,,,367007,,,,,,,,,,221,11,1
,,CTTROT20210217BASEL-B,SGGNS,9,37804980607-8,,,,,,,,,,,,367007,,,,,,,,,,221,11,1
,,CTTROT20210217BASEL-B,SGGNS,10,37804980606-0,,,,,,,,,,,,367007,,,,,,,,,,221,11,1
,,CTTROT20210217BASEL-B,SGGNS,11,37804980600-3,,,,,,,,,,,,367007,,,,,,,,,,221,11,1
,,CTTROT20210217BASEL-B,SGGNS,12,37804980602-9,,,,,,,,,,,,367007,,,,,,,,,,221,11,1
,,CTTROT20210217BASEL-B,SGGNS,13,37804980611-0,,,,,,,,,,,,367007,,,,,,,,,,221,11,1
,,CTTROT20210217BASEL-B,SGGNS,14,37804980603-7,,,,,,,,,,,,367007,,,,,,,,,,221,11,1
,,CTTROT20210217BASEL-B,SGGNS,15,37804980604-5,,,,,,,,,,,,367007,,,,,,,,,,221,11,1
,,CTTROT20210217BASEL-B,SGGNS,16,37804980605-2,,,,,,,,,,,,367007,,,,,,,,,,221,11,1
,,CTTROT20210217BASEL-B,SGGNS,17,37804980609-4,,,,,,,,,,,,367007,,,,,,,,,,221,11,1
,,CTTROT20210217BASEL-B,SGGNS,18,37804980608-6,,,,,,,,,,,,367007,,,,,,,,,,221,11,1
,,CTTROT20210217BASEL-B,SGGRS,19,37804980610-2,,,,,,,,,,,,367007,,,,,,,,,,221,11,1
,,CTTROT20210217BASEL-B,SGGRSS,1,33884961346-2,,,,,,,,,,,,367007,,,,,,,,,,221,11,1
,,CTTROT20210217BASEL-B,SGGRSS,6,37844960727-4,,,,,,,,,,,,367007,,,,,,,,,,221,11,1
,,CTTROT20210217BASEL-B,SGJS,20,33884552995-1,,,,,,,,,,,,367007,,,,,,,,,,221,11,1
,,CTTROT20210217BASEL-B,SGMS,23,33884552999-3,,,,,,,,,,,,367007,,,,,,,,,,221,11,1
,,CTTROT20210217BASEL-B,SGNS,21,33884552955-5,,,,,,,,,,,,367007,,,,,,,,,,221,11,1
,,CTTROT20210217BASEL-B,SGNSS,22,33884552994-4,,,,,,,,,,,,367007,,,,,,,,,,221,11,1
,,CTTROT20210217MORTARA,SGGMRS104S90,6,33884962528-4,,,,,,,,,,,,366770,,,,,,,,,,221,11,1
,,CTTROT20210217MORTARA,Sggmrss,12,33884961375-1,,,,,,,,,,,,366770,,,,,,,,,,221,11,1
,,CTTROT20210217MORTARA,SGGOS,4,37804563192-6,,,,,,,,,,,,366770,,,,,,,,,,221,11,1
,,CTTROT20210217MORTARA,SGNSS,1,37804563118-1,,,,,,,,,,,,366770,,,,,,,,,,221,11,1
,,CTTROT20210217MORTARA,SGNSS,2,37804563019-1,,,,,,,,,,,,366770,,,,,,,,,,221,11,1
,,CTTROT20210217MORTARA,SGNSS,3,31804563222-7,,,,,,,,,,,,366770,,,,,,,,,,221,11,1
,,CTTROT20210217MORTARA,SGNSS,5,31804563151-8,,,,,,,,,,,,366770,,,,,,,,,,221,11,1
,,CTTROT20210217MORTARA,SGNSS,10,37804563133-0,,,,,,,,,,,,366770,,,,,,,,,,221,11,1
,,CTTROT20210217MORTARA,SGNSS,11,37804563026-6,,,,,,,,,,,,366770,,,,,,,,,,221,11,1
,,CTTROT20210217MORTARA,SGNSS,16,37804563012-6,,,,,,,,,,,,366770,,,,,,,,,,221,11,1
,,CTTROT20210217MORTARA,SGNSS,18,37804563010-0,,,,,,,,,,,,366770,,,,,,,,,,221,11,1
,,CTTROT20210217MORTARA,SGNSS,21,37804563108-2,,,,,,,,,,,,366770,,,,,,,,,,221,11,1
,,CTTROT20210217MORTARA,SSFFGGMRRSS,9,33874908369-1,,,,,,,,,,,,366770,,,,,,,,,,221,11,1
,,CTTROT20210217MORTARA-B,SGGMRS104S90,8,33884961083-1,,,,,,,,,,,,366776,,,,,,,,,,221,11,1
,,CTTROT20210217MORTARA-B,SGGMRS104S90,13,33884961177-1,,,,,,,,,,,,366776,,,,,,,,,,221,11,1
,,CTTROT20210217MORTARA-B,SGNS,17,33534557928-8,,,,,,,,,,,,366776,,,,,,,,,,221,11,1
,,CTTROT20210217MORTARA-B,SGNS,18,33534557208-5,,,,,,,,,,,,366776,,,,,,,,,,221,11,1
,,CTTROT20210217POL,,,,,,,,2965435,,,,,,,366572,,,,,,,,PCVU 250079 8,1,221,11,1
,,CTTROT20210217POL,,,,,,,,2965436,,,,,,,366572,,,,,,,,PCVU 260130 3,1,221,11,1
,,CTTROT20210217POL,,,,,,,,2965437,,,,,,,366572,,,,,,,,BGBU 500805 0,1,221,11,1
,,CTTROT20210217POL,,,,,,,,2965438,,,,,,,366572,,,,,,,,ECMU 177901 6,1,221,11,1
,,CTTROT20210217POL,,,,,,,,2965439,,,,,,,366572,,,,,,,,TKRU 319029 6,1,221,11,1
,,CTTROT20210217POL,,,,,,,,2965440,,,,,,,366572,,,,,,,,TKRU 315871 4,1,221,11,1
,,CTTROT20210217POL,,,,,,,,2965442,,,,,,,366572,,,,,,,,PCVU 260158 2,1,221,11,1
,,CTTROT20210217POL,,,,,,,,2965443,,,,,,,366572,,,,,,,,VODU 926837 8,1,221,11,1
,,CTTROT20210217POL,,,,,,,,2965445,,,,,,,366572,,,,,,,,HOYU 241964 0,1,221,11,1
,,CTTROT20210217POL,,,,,,,,2965446,,,,,,,366572,,,,,,,,APZU 302191 6,1,221,11,1
,,CTTROT20210217POL,,,,,,,,2965447,,,,,,,366572,,,,,,,,IKSU 266413 5,1,221,11,1
,,CTTROT20210217POL,,,,,,,,2965448,,,,,,,366572,,,,,,,,ECMU 136114 0,1,221,11,1
,,CTTROT20210217POL,,,,,,,,2965456,,,,,,,366572,,,,,,,,ABEU 262802 0,1,221,11,1
,,CTTROT20210217POL,,,,,,,,2965457,,,,,,,366572,,,,,,,,ABEU 253191 4,1,221,11,1
,,CTTROT20210217POL,,,,,,,,2965458,,,,,,,366572,,,,,,,,NWBU 103518 0,1,221,11,1
,,CTTROT20210217POL,,,,,,,,2965459,,,,,,,366572,,,,,,,,ATRU 330001 0,1,221,11,1
,,CTTROT20210217POL,,,,,,,,2965466,,,,,,,366572,,,,,,,,INGU 735080 0,1,221,11,1
,,CTTROT20210217POL,,,,,,,,2965467,,,,,,,366572,,,,,,,,BAFU 135698 0,1,221,11,1
,,CTTROT20210217POL,,,,,,,,2965468,,,,,,,366572,,,,,,,,ABEU 590126 8,1,221,11,1
,,CTTROT20210217POL,,,,,,,,2965469,,,,,,,366572,,,,,,,,ABEU 590038 5,1,221,11,1
,,CTTROT20210217POL,,,,,,,,2965470,,,,,,,366572,,,,,,,,ABEU 590061 5,1,221,11,1
,,CTTROT20210217POL,,,,,,,,2965471,,,,,,,366572,,,,,,,,ABEU 501284 6,1,221,11,1
,,CTTROT20210217POL,,,,,,,,2965475,,,,,,,366572,,,,,,,,SEGU 446107 8,1,221,11,1
,,CTTROT20210217POL,,,,,,,,2965478,,,,,,,366572,,,,,,,,APHU 688304 3,1,221,11,1
,,CTTROT20210217POL,,,,,,,,2965486,,,,,,,366572,,,,,,,,PVDU 111497 0,1,221,11,1
,,CTTROT20210217POL,,,,,,,,2965488,,,,,,,366572,,,,,,,,EUCU 451695 4,1,221,11,1
,,CTTROT20210217POL,,,,,,,,2965489,,,,,,,366572,,,,,,,,SANU 751704 1,1,221,11,1
,,CTTROT20210217POL,,,,,,,,2965490,,,,,,,366572,,,,,,,,PVDU 113038 0,1,221,11,1
,,CTTROT20210217POL,,,,,,,,2965491,,,,,,,366572,,,,,,,,CNEU 451736 2,1,221,11,1
,,CTTROT20210217POL,,,,,,,,2965492,,,,,,,366572,,,,,,,,PVDU 113144 8,1,221,11,1
,,CTTROT20210217POL,,,,,,,,2965493,,,,,,,366572,,,,,,,,TCLU 481946 9,1,221,11,1
,,CTTROT20210217POL,,,,,,,,2965494,,,,,,,366572,,,,,,,,EUCU 466061 6,1,221,11,1
,,CTTROT20210217POL,,,,,,,,2965496,,,,,,,366572,,,,,,,,TKRU 324559 4,1,221,11,1
,,CTTROT20210217POL,,,,,,,,2965593,,,,,,,366572,,,,,,,,NWBU 010527 8,1,221,11,1
,,CTTROT20210217POL,,,,,,,,2965594,,,,,,,366572,,,,,,,,SEGU 812672 0,1,221,11,1
,,CTTROT20210217POL,,,,,,,,2965605,,,,,,,366572,,,,,,,,BIDU 491789 3,1,221,11,1
