NRAXES,MAXTEU,CALLCODE,WAGTYPE,WPOS,WAGON,UNNR,UNKLASSE,UNITWEIGHTNETT,UNITTYPE,UNITSEQUENCE,TRACK,TEUS,TERMINALWEIGHTNETT,TARE,SIZEFT,STARTPOSITION,SEQ,PAYLOAD,MOVETYPE,LOCATION,LEN,CONTAINERTARRA,CONTAINERNUMBER,COMPOUNDPOS,MAXTRAVELDISTANCE,TRAINSPLIT,TRAINREVERSED,MaxTrainWeightValue,WeightPercThresholdValue,HideUnplacedContainersValue,LengthPercThresholdValue
,,CTTROT20210408POL,,,,,,25000,20TK,3091305,,1,,,,,368696,,lader,CTTROT,,4000,ABEU 253123 6,,60,13,False,1600,0.9,False,1
,,CTTROT20210408POL,,,,,,25000,22TK,3091310,,1.1,25000,,,,368696,,lader,CTTROT,,4800,FOTU 222745 4,04.03.1,60,13,False,1600,0.9,False,1
,,CTTROT20210408POL,,,,,,25000,45PW,3091335,,2.25,,,,,368696,,lader,CTTROT,,4400,TLLU 165174 4,,60,13,False,1600,0.9,False,1
,,CTTROT20210408POL,,,,,,25500,20TK,3091293,,1,,,,,368696,,lader,CTTROT,,4000,,,60,13,False,1600,0.9,False,1
,,CTTROT20210408POL,,,,,,25500,26TK,3091324,,1.3,,,,,368696,,lader,CTTROT,,4800,EXFU 879677 0,,60,13,False,1600,0.9,False,1
,,CTTROT20210408POL,,,,,,26100,20DV,3091298,,1,28360,,,,368696,,lader,CTTROT,,2300,TCKU 185064 8,19.02.2,60,13,False,1600,0.9,False,1
,,CTTROT20210408POL,,,,,,26100,20DV,3091299,,1,26120,,,,368696,,lader,CTTROT,,2300,CAIU 207136 6,08.02.2,60,13,False,1600,0.9,False,1
,,CTTROT20210408POL,,,,,,26100,20DV,3091300,,1,28685,,,,368696,,lader,CTTROT,,2300,CAIU 229755 9,34.01.1,60,13,False,1600,0.9,False,1
,,CTTROT20210408POL,,,,,,26100,20DV,3091301,,1,26020,,,,368696,,lader,CTTROT,,2300,CAXU 317475 6,33.01.2,60,13,False,1600,0.9,False,1
,,CTTROT20210408POL,,,,,,26100,20DV,3091302,,1,26040,,,,368696,,lader,CTTROT,,2300,CAIU 247989 3,33.01.1,60,13,False,1600,0.9,False,1
,,CTTROT20210408POL,,,,,,26100,20DV,3091303,,1,,,,,368696,,lader,CTTROT,,2300,,,60,13,False,1600,0.9,False,1
,,CTTROT20210408POL,,,,,,27000,20TK,3091294,,1,,,,,368696,,lader,CTTROT,,4000,,,60,13,False,1600,0.9,False,1
,,CTTROT20210408POL,,,,,,27000,20TK,3091304,,1,25000,,,,368696,,lader,CTTROT,,4000,ATRU 240000 0,19.02.1,60,13,False,1600,0.9,False,1
,,CTTROT20210408POL,,,,,,27000,22TK,3091309,,1.1,,,,,368696,,lader,CTTROT,,4800,ZTKU 730221 3,,60,13,False,1600,0.9,False,1
,,CTTROT20210408POL,,,,,,27000,26TK,3091319,,1.3,0,,,,368696,,lader,CTTROT,,4800,PCVU 350008 8,47.14.1,60,13,False,1600,0.9,False,1
,,CTTROT20210408POL,,,,,,27000,26TK,3091320,,1.3,0,,,,368696,,lader,CTTROT,,4800,TWSU 971155 4,51.13.1,60,13,False,1600,0.9,False,1
,,CTTROT20210408POL,,,,,,27000,26TK,3091321,,1.3,,,,,368696,,lader,CTTROT,,4800,,,60,13,False,1600,0.9,False,1
,,CTTROT20210408POL,,,,,,27000,26TK,3091322,,1.3,,,,,368696,,lader,CTTROT,,4800,,,60,13,False,1600,0.9,False,1
,,CTTROT20210408POL,,,,,,28000,20TK,3091292,,1,27700,,,,368696,,lader,CTTROT,,4000,KRIU 226041 7,12.01.2,60,13,False,1600,0.9,False,1
,,CTTROT20210408POL,,,,,,28000,26TK,3091312,,1.3,,,,,368696,,lader,CTTROT,,4800,,,60,13,False,1600,0.9,False,1
,,CTTROT20210408POL,,,,,,28000,26TK,3091315,,1.3,,,,,368696,,lader,CTTROT,,4800,,,60,13,False,1600,0.9,False,1
,,CTTROT20210408POL,,,,,,30000,20TK,3091306,,1,28800,,,,368696,,lader,CTTROT,,4000,EKCU 230618 3,12.01.1,60,13,False,1600,0.9,False,1
,,CTTROT20210408POL,,,,,,30000,20TK,3091307,,1,30000,,,,368696,,lader,CTTROT,,4000,EKCU 230604 9,34.01.2,60,13,False,1600,0.9,False,1
,,CTTROT20210408POL,,,,,,30000,26TK,3091316,,1.3,,,,,368696,,lader,CTTROT,,4800,,,60,13,False,1600,0.9,False,1
,,CTTROT20210408POL,,,,,,30000,26TK,3091317,,1.3,,,,,368696,,lader,CTTROT,,4800,,,60,13,False,1600,0.9,False,1
,,CTTROT20210408POL,,,,1197003,3,19196,45PW,3091342,,2.25,19196,,,,368696,,lader,CTTROT,,4400,TLLU 159267 8,39.06.2,60,13,False,1600,0.9,False,1
,,CTTROT20210408POL,,,,2055000,3,28000,26TK,3091311,,1.3,27850,,,,368696,,lader,CTTROT,,4800,PCTU 354021 7,11.12.1,60,13,False,1600,0.9,False,1
,,CTTROT20210408POL,,,,2055000,3,28000,26TK,3091313,,1.3,28040,,,,368696,,lader,CTTROT,,4800,PCTU 354019 8,13.13.1,60,13,False,1600,0.9,False,1
,,CTTROT20210408POL,,,,2055000,3,28000,26TK,3091314,,1.3,27900,,,,368696,,lader,CTTROT,,4800,PCTU 354017 7,13.13.3,60,13,False,1600,0.9,False,1
,,CTTROT20210408POL,,,,2055000,3,28000,26TK,3091318,,1.3,27900,,,,368696,,lader,CTTROT,,4800,PCVU 350052 9,12.12.1,60,13,False,1600,0.9,False,1
4,,CTTROT20210408POL,SGNS,4,37804564007-5,,,,,,,,,20000,60,,368696,70000,,,19.63999939,,,,60,13,False,1600,0.9,False,1
