NRAXES,MAXTEU,CALLCODE,WAGTYPE,WPOS,WAGON,UNNR,UNKLASSE,UNITWEIGHTNETT,UNITTYPE,UNITSEQUENCE,TRACK,TEUS,TERMINALWEIGHTNETT,TARE,SIZEFT,STARTPOSITION,SEQ,PAYLOAD,MOVETYPE,LOCATION,LEN,CONTAINERTARRA,CONTAINERNUMBER,COMPOUNDPOS,MAXTRAVELDISTANCE,TRAINSPLIT,TRAINREVERSED,MaxTrainWeight,WeightPerc,HideUnplacedContainers,LengthPerc
,,CTTROT20210323POL,,,,,,0,23TK,3059071,,1.15,0,,,,368022,,lader,CTTROT,,4800,MTNU 330015 3,32.06.1,57,11,0,1601
,,CTTROT20210323POL,,,,,,1,23TK,3059072,,1.15,3800,,,,368022,,lader,CTTROT,,4800,MEBU 331108 5,48.01.2,57,11,0,1601
,,CTTROT20210323POL,,,,,,1,23TK,3059073,,1.15,3800,,,,368022,,lader,CTTROT,,4800,MEBU 330015 7,48.14.2,57,11,0,1601
,,CTTROT20210323POL,,,,,,4674,40DV,3059026,,2,2374,,,,368022,,lader,CTTROT,,4000,EGHU 387705 9,52.10.1,57,11,0,1601
,,CTTROT20210323POL,,,,,,7604,45PW,3059039,,2.25,,,,,368022,,lader,CTTROT,,4400,EUCU 451760 5,,57,11,0,1601
,,CTTROT20210323POL,,,,,,11345,40HC,3059024,,2,11345,,,,368022,,lader,CTTROT,,4200,APZU 426717 0,KRAAN,57,11,0,1601
,,CTTROT20210323POL,,,,,,14284,45PW,3059061,,2.25,14284,,,,368022,,lader,CTTROT,,4400,PVDU 113072 9,43.01.1,57,11,0,1601
,,CTTROT20210323POL,,,,,,14605,40HC,3059193,,2,14605,,,,368022,,lader,CTTROT,,4200,BEAU 484348 5,23.03.1,57,11,0,1601
,,CTTROT20210323POL,,,,,,15260,45PW,3059053,,2.25,,,,,368022,,lader,CTTROT,,4400,EUCU 458217 5,,57,11,0,1601
,,CTTROT20210323POL,,,,,,17360,40HC,3059025,,2,17360,,,,368022,,lader,CTTROT,,4200,APHU 717970 1,19.02.1,57,11,0,1601
,,CTTROT20210323POL,,,,,,19000,45OS,3059213,,2.25,19000,,,,368022,,lader,CTTROT,,4500,NFLU 203537 0,17.01.2,57,11,0,1601
,,CTTROT20210323POL,,,,,,21087,40HC,3059023,,2,21087,,,,368022,,lader,CTTROT,,4200,APZU 483084 9,STOP5,57,11,0,1601
,,CTTROT20210323POL,,,,,,22000,20DV,3059154,,1,22000,,,,368022,,lader,CTTROT,,2300,TKRU 317347 3,28.02.2,57,11,0,1601
,,CTTROT20210323POL,,,,,,22100,45PW,3059052,,2.25,,,,,368022,,lader,CTTROT,,4400,TLLU 156316 0,,57,11,0,1601
,,CTTROT20210323POL,,,,,,23000,22TK,3059000,,1.1,23000,,,,368022,,lader,CTTROT,,4800,ZTKU 730202 3,05.02.2,57,11,0,1601
,,CTTROT20210323POL,,,,,,23000,22TK,3059001,,1.1,23000,,,,368022,,lader,CTTROT,,4800,EXFU 878285 8,26.01.1,57,11,0,1601
,,CTTROT20210323POL,,,,,,23001,45PW,3059036,,2.25,23001,,,,368022,,lader,CTTROT,,4400,PVDU 110590 0,43.01.2,57,11,0,1601
,,CTTROT20210323POL,,,,,,24000,20TK,3058988,,1,24060,,,,368022,,lader,CTTROT,,4000,DHIU 184137 0,12.02.3,57,11,0,1601
,,CTTROT20210323POL,,,,,,24000,23TK,3059003,,1.15,24060,,,,368022,,lader,CTTROT,,4800,UTTU 242302 3,12.02.1,57,11,0,1601
,,CTTROT20210323POL,,,,,,24505,45PW,3059050,,2.25,,,,,368022,,lader,CTTROT,,4400,EUCU 455113 2,,57,11,0,1601
,,CTTROT20210323POL,,,,,,24505,45PW,3059051,,2.25,,,,,368022,,lader,CTTROT,,4400,EUCU 456087 5,,57,11,0,1601
,,CTTROT20210323POL,,,,,,24740,45PW,3059049,,2.25,,,,,368022,,lader,CTTROT,,4400,EUCU 454046 2,,57,11,0,1601
,,CTTROT20210323POL,,,,,,25000,23TK,3059004,,1.15,25000,,,,368022,,lader,CTTROT,,4800,FOTU 842549 9,05.02.1,57,11,0,1601
,,CTTROT20210323POL,,,,,,25000,24TK,3059014,,1.2,25120,,,,368022,,lader,CTTROT,,4800,LAFU 321957 0,41.01.2,57,11,0,1601
,,CTTROT20210323POL,,,,,,25740,30BU,3059021,,1.5,26000,,,,368022,,lader,CTTROT,,3300,UBBU 226428 9,08.02.1,57,11,0,1601
,,CTTROT20210323POL,,,,,,25800,22TK,3058994,,1.1,26000,,,,368022,,lader,CTTROT,,4800,ZTKU 730906 0,06.01.1,57,11,0,1601
,,CTTROT20210323POL,,,,,,25880,26TK,3059009,,1.3,,,,,368022,,lader,CTTROT,,4800,ZTKU 735019 2,,57,11,0,1601
,,CTTROT20210323POL,,,,,,26000,20TK,3058973,,1,25000,,,,368022,,lader,CTTROT,,4000,PCVU 263002 4,12.02.2,57,11,0,1601
,,CTTROT20210323POL,,,,,,26000,20TK,3058974,,1,25000,,,,368022,,lader,CTTROT,,4000,PCVU 260141 1,33.01.1,57,11,0,1601
,,CTTROT20210323POL,,,,,,26460,22TK,3058995,,1.1,26460,,,,368022,,lader,CTTROT,,4800,DHIU 084200 6,05.02.3,57,11,0,1601
,,CTTROT20210323POL,,,,,,26500,20TK,3058975,,1,25030,,,,368022,,lader,CTTROT,,4000,NWBU 082665 4,34.01.1,57,11,0,1601
