"1856711","DHIU 115224 2","23TK","05.05.2","4/02/2021 17:37","$HARTRO"
"1856856","EXFU 878628 3","26TK","02.05.1","4/02/2021 19:23","$HARTRO"
"1857069","SIMU 264376 0","20TK","28.09.3","4/02/2021 13:35","$KAMPPI"
"1857247","ABEU 322552 3","24TK","05.03.1","4/02/2021 17:18","$BOSCER"
"1857710","MEBU 331108 5","23TK","05.04.2","8/02/2021 9:02","$PCCGDY"
"1857741","FOTU 843371 9","26TK","48.14.1","3/02/2021 16:51","$PCCGDY"
"1857742","PCVU 261044 0","20TK","48.09.1","4/02/2021 9:45","$PCCGDY"
"1857744","PCVU 260002 0","20TK","48.09.2","4/02/2021 16:21","$PCCGDY"
"1857780","TCLU 259276 1","20TK","02.02.1","4/02/2021 19:08","$HARTRO"
"1857808","DHDU 157911 2","20TK","02.09.1","4/02/2021 9:10","$HARTRO"
"1857850","DHIU 082835 3","23TK","46.04.1","4/02/2021 8:19","$HARTRO"
"1857982","YMLU 886239 2","40HC","27.01.2","9/02/2021 7:31","$CONTBA"
"1858250","TLLU 158879 1","45PW","37.04.1","9/02/2021 9:46","$PCCGDY"
"1858638","EURU 524570 5","20TK","34.10.1","5/02/2021 10:02","$SHUTRO"
"1858699","EXFU 441771 2","20TK","27.09.3","6/02/2021 17:35","$VOTGHA"
"1858861","DHDU 208819 7","20TK","01.10.2","3/02/2021 16:09","$HARTGL"
"1858862","DHDU 208814 0","20TK","02.10.3","5/02/2021 16:56","$HARTGL"
"1858866","TTNU 219006 3","20DV","26.01.2","4/02/2021 7:10","$PCCGDY"
"1858869","DHDU 208810 8","20TK","03.10.2","8/02/2021 9:01","$HARTGL"
"1858888","ABEU 253140 5","20TK","38.05.2","3/02/2021 7:46","$BOSCER"
"1858939","DHDU 208808 9","20TK","02.10.2","5/02/2021 16:56","$HARTGL"
"1858979","MEBU 331045 3","23TK","05.04.1","8/02/2021 8:57","$PCCGDY"
"1859040","DHDU 187004 6","20TK","27.09.2","6/02/2021 17:33","$HARTRO"
"1859098","EKCU 260618 0","20TK","38.09.3","4/02/2021 9:18","$BOSCER"
