Partner-Ref;Referenz;Waggon-Nr.;BU;Auftrag;Ladedatum;Container #;Turn-Out;Seeschiff;Ladest.;TEU;Termin;CTyp;Reeder;C-Gross;C-Netto;Cls;VP;Warenbezeichnung;GG-Bez.;ETA;Ladestelle;Entladest.;Zollagent;T1#
AANWEZIG CTT;;;BSL;1210100579;12/02/2021;MSKU4084514;6310869;MOSCOW MAERSK;CTT Rotterdam BV, Rotterdam;1;10/02/2021;20DV;Hamburg Süd Nederland, Rotterdam;6.748,63;4548.63;591;Kartons;outdoor light, led lamp;;03/02/2021;CTT Rotterdam BV, Rotterdam;UBF Basel, Weil am Rhein;KGH Customs Service, Barendrecht;21NL00051013DADFC2
AANWEZIG CTT;;;BSL;1210100688;12/02/2021;CNIU1179899;701908;MOSCOW MAERSK;CTT Rotterdam BV, Rotterdam;1;10/02/2021;20DV;Maersk, Rotterdam;11.312,55;9112.55;119;Packstücke;Sammelgut;;01/02/2021;CTT Rotterdam BV, Rotterdam;UBF Basel, Weil am Rhein;KGH Customs Service, Barendrecht;21NL00051013DAE005
AANWEZIG CTT;;;BSL;1210100689;12/02/2021;MSKU7768357;859521;MOSCOW MAERSK;CTT Rotterdam BV, Rotterdam;1;10/02/2021;20DV;Maersk, Rotterdam;9.591,95;7391.95;303;Packstücke;Sammelgut;;01/02/2021;CTT Rotterdam BV, Rotterdam;UBF Basel, Weil am Rhein;KGH Customs Service, Barendrecht;21NL00051013DADFF7
AANWEZIG CTT;;;BSL;1210100691;12/02/2021;MRKU9831009;010449;MOSCOW MAERSK;CTT Rotterdam BV, Rotterdam;1;10/02/2021;20DV;Maersk, Rotterdam;6.750,00;4550;280;Packstücke;Sammelgut;;01/02/2021;CTT Rotterdam BV, Rotterdam;UBF Basel, Weil am Rhein;KGH Customs Service, Barendrecht;21NL00051013DAE013
AANWEZIG CTT;;;BSL;1210100748;12/02/2021;FFAU1740637;114RT5H83450;MOSCOW MAERSK;CTT Rotterdam BV, Rotterdam;2;10/02/2021;40HC;MSC S.A. c/o MSC Belgium N.V., Antwerpen;26.000,00;22000;910;Packstücke;ACACIA WOODTILES ON PLASTIC BASE BROWN COLOR 100%FSC, PO:24084 HS CODE: 44187390;;01/02/2021;CTT Rotterdam BV, Rotterdam;UBF Basel, Weil am Rhein;KGH Customs Service, Barendrecht;21NL00051013DAE056
AANWEZIG CTT;;;BSL;1210100758;12/02/2021;MEDU5877090;114RT2H83478;MOSCOW MAERSK;CTT Rotterdam BV, Rotterdam;1;10/02/2021;20DV;MSC S.A. c/o MSC Belgium N.V., Antwerpen;7.854,00;5654;11;Paletten;WEBNET AND SPARE PARTS OF WEBNET;;01/01/2021;CTT Rotterdam BV, Rotterdam;UBF Basel, Weil am Rhein;KGH Customs Service, Barendrecht;21NL00051013DAE072
AANWEZIG CTT;;;BSL;1210101081;12/02/2021;UACU8458337;1V64TVH32X;HMM ST PETERSBURG;CTT Rotterdam BV, Rotterdam;2;10/02/2021;40DV;Hapag Lloyd, Rotterdam;13.065,00;9065;455;Packstücke;Möbel;;28/01/2021;CTT Rotterdam BV, Rotterdam;UBF Basel, Weil am Rhein;KGH Customs Service, Barendrecht;21NL00051013E2F139
AANWEZIG CTT;;;BSL;1210101086;12/02/2021;TCLU4861638;54XTAPL;AFIF;CTT Rotterdam BV, Rotterdam;2;10/02/2021;40HC;Ocean Network Express Netherlands, Rotterdam;17.889,24;13889.24;705;Packstücke;Consolidated Cargo;;21/01/2021;CTT Rotterdam BV, Rotterdam;UBF Basel, Weil am Rhein;KGH Customs Service, Barendrecht;21NL00051013DAE7F0
AANWEZIG CTT;;;BSL;1210101135;12/02/2021;TRHU2371437;114RT2H83466;MOSCOW MAERSK;CTT Rotterdam BV, Rotterdam;1;10/02/2021;20DV;MSC S.A. c/o MSC Belgium N.V., Antwerpen;22.920,00;20720;1205;Packstücke;Canned pineapple choice in natural juice;;03/02/2021;CTT Rotterdam BV, Rotterdam;UBF Basel, Weil am Rhein;KGH Customs Service, Barendrecht;21NL00051013E76595
AANWEZIG CTT;;;BSL;1210101162;12/02/2021;CAIU9170709;32352736;CMA CGM SCANDOLA;CTT Rotterdam BV, Rotterdam;2;10/02/2021;40HC;Cosco Container Lines Europe GmbH, Hong Kong;7.994,00;3994;223;Packstücke;Furnitures;;23/01/2021;CTT Rotterdam BV, Rotterdam;UBF Basel, Weil am Rhein;KGH Customs Service, Barendrecht;21NL00051013E2F120
AANWEZIG CTT;;;BSL;1210101162;12/02/2021;CCLU7905815;48931117;CMA CGM SCANDOLA;CTT Rotterdam BV, Rotterdam;2;10/02/2021;40HC;Cosco Container Lines Europe GmbH, Hong Kong;6.616,00;2616;122;Packstücke;Furnitures;;23/01/2021;CTT Rotterdam BV, Rotterdam;UBF Basel, Weil am Rhein;KGH Customs Service, Barendrecht;21NL00051013E2F120
